job_no,customer_id,contact_id,tenant_id,division,product_type,description,quantity,size,stock_code,colours,finishing,current_stage,received_at,promised_dispatch,actual_dispatch,collection_site,value
4310,c2a78948-672d-3480-815c-adaf49b3a057,16a93772-4fc4-4963-16f2-2f40bba41006,ramco-printing,DUO,training manual perfect bound,"5,000 x training manual perfect bound",5000,A4,STK-BOARD-300,4/4,{FIN-GLOSSLAM},delivered,2026-01-07 00:00:00,2026-01-14,2026-01-16,"Ramco Group Industrial Park, Mombasa Road",887403.43
4311,deb58e5a-b7db-6abd-2127-de093774500c,59f52611-304b-429a-3991-6cfa1991d51c,ramco-printing,HEX,A5 softcover journal,"2,000 x A5 softcover journal",2000,90x54mm,STK-BOARD-250,4/0,"{FIN-SADDLE,FIN-DIECUT}",delivered,2026-04-19 00:00:00,2026-04-27,2026-04-26,"Ramco Group Industrial Park, Mombasa Road",269100.97
4312,4066f493-868c-4f3d-16c6-1a9458abe20c,2f03c25f-fe75-f120-6346-1fb694fcd7a0,ramco-printing,IX,vehicle branding set,250 x vehicle branding set,250,A3,STK-BOND-80,4/0,{},dispatched,2025-12-01 00:00:00,2025-12-07,2025-12-05,"Ramco Group Industrial Park, Mombasa Road",43593.01
4313,92eba0e3-1087-a447-9bae-74f56bef94c2,91bc18f7-c9a7-df36-290a-1d75df00ec35,ramco-printing,UNO,A4 booklet 24pp,"5,000 x A4 booklet 24pp",5000,A5,STK-KRAFT-280,4/4,"{FIN-WIRO,FIN-FOIL}",delivered,2026-05-02 00:00:00,2026-05-08,2026-05-08,"Dunga Close, Industrial Area",479069.57
4314,25eb2245-41ad-78e8-9a51-101ffb45ae29,5faee57e-5c1f-e2ff-1a10-8a11189b8a22,ramco-printing,IX,eco gift set,250 x eco gift set,250,std,STK-KRAFT-280,4/4,{FIN-EMBOSS},delivered,2026-03-13 00:00:00,2026-03-19,2026-03-19,"Ramco Group Industrial Park, Mombasa Road",40148.63
4315,1fa48a73-7222-9877-55df-b36e5fc29844,3c156eb4-18f9-4428-6c5d-64c8c26b19a1,ramco-printing,UNO,A5 flyers,500 x A5 flyers,500,A4,STK-GLOSS-170,4/4,{},dispatched,2026-06-05 00:00:00,2026-06-12,2026-06-11,"Dunga Close, Industrial Area",5516.12
4316,5abb59de-2e94-70ef-2be5-2f571f1cd5d0,ff084025-060b-5b7b-af58-dc658925bc47,ramco-printing,HEX,A5 hardcover notebook,"2,000 x A5 hardcover notebook",2000,std,STK-GLOSS-170,4/0,"{FIN-FOIL,FIN-SPOTUV}",delivered,2026-06-25 00:00:00,2026-07-03,2026-06-29,"Ramco Group Industrial Park, Mombasa Road",275971.59
4317,d57861d7-86fb-2683-58be-f8bcc467249b,eb478952-4ede-17a1-2259-372593df4dbe,ramco-printing,IX,exhibition backdrop,"5,000 x exhibition backdrop",5000,A5,STK-GLOSS-130,1/0,{},delivered,2026-03-17 00:00:00,2026-03-24,2026-03-24,"Ramco Group Industrial Park, Mombasa Road",672464.36
4318,431a0612-649b-ac0c-b17f-741d131f33b3,584b3241-c9ee-a154-e860-4048b9bdf1a3,ramco-printing,HEX,B5 notebook,"5,000 x B5 notebook",5000,A4,STK-BOND-80,4/0,{},delivered,2026-03-01 00:00:00,2026-03-07,2026-03-07,"Ramco Group Industrial Park, Mombasa Road",1027932.74
4319,e5b83da9-b827-0066-25c5-51b7ad1bab29,3126df68-f4be-8288-3dd0-d076fadc6c2a,ramco-printing,DUO,training manual perfect bound,500 x training manual perfect bound,500,A5,STK-BOARD-250,1/0,"{FIN-WIRO,FIN-PERFECT}",delivered,2026-07-02 00:00:00,2026-07-08,2026-07-08,"Ramco Group Industrial Park, Mombasa Road",92008.35
4320,f504ebaa-0156-eb96-e381-aa808aaf5f98,719ef3d0-bc06-fe91-31cc-feada22a96c3,ramco-printing,DUO,paperback book 300pp,500 x paperback book 300pp,500,A4,STK-BOARD-300,4/0,{},delivered,2026-06-29 00:00:00,2026-07-04,2026-07-04,"Ramco Group Industrial Park, Mombasa Road",65060.71
4321,d0cafddc-2be4-913d-30a1-8954f446d827,e7611437-9d00-66f8-bc94-cc3aa3e2ad45,ramco-printing,DUO,instruction leaflet,500 x instruction leaflet,500,A3,STK-KRAFT-280,4/4,{},dispatched,2026-04-18 00:00:00,2026-04-25,2026-04-26,"Ramco Group Industrial Park, Mombasa Road",87327.59
4322,deb58e5a-b7db-6abd-2127-de093774500c,59f52611-304b-429a-3991-6cfa1991d51c,ramco-printing,UNO,compliment slips,"5,000 x compliment slips",5000,A4,STK-BOARD-350,4/4,{FIN-DIECUT},dispatched,2026-06-16 00:00:00,2026-06-22,2026-06-22,"Dunga Close, Industrial Area",899342.92
4323,c2a78948-672d-3480-815c-adaf49b3a057,16a93772-4fc4-4963-16f2-2f40bba41006,ramco-printing,UNO,A5 flyers,"2,000 x A5 flyers",2000,A4,STK-BOND-100,1/0,{FIN-DIECUT},delivered,2026-06-16 00:00:00,2026-06-23,2026-06-23,"Dunga Close, Industrial Area",74373.32
4324,d95d24b0-7124-8976-27b6-d6d527788979,7f224e32-28b6-8045-4c63-712e8ba17415,ramco-printing,UNO,presentation folder,"5,000 x presentation folder",5000,A5,STK-GLOSS-130,4/0,{FIN-DIECUT},delivered,2026-06-10 00:00:00,2026-06-14,2026-06-14,"Dunga Close, Industrial Area",152493.05
4325,644f0335-74ad-84e7-c2fe-e1ba6f020342,59944213-0ced-0c48-86a5-240a169f361f,ramco-printing,IX,branded pens,"10,000 x branded pens",10000,std,STK-BOARD-250,4/0,{FIN-WIRO},delivered,2026-02-13 00:00:00,2026-02-16,2026-02-16,"Ramco Group Industrial Park, Mombasa Road",1429789.41
4326,eedb3a03-9d8d-9f4e-8e4e-511ecfee26dc,537fcc50-2254-2faf-eba6-a04bff065500,ramco-printing,IX,branded mugs,"5,000 x branded mugs",5000,std,STK-BOND-100,1/0,{FIN-DIECUT},delivered,2026-05-12 00:00:00,2026-05-18,2026-05-15,"Ramco Group Industrial Park, Mombasa Road",118083.85
4327,056acd07-b13e-29f4-fcee-2c1b453aba36,7ab62628-711f-3b4f-a641-93f0eee77be0,ramco-printing,DUO,folding carton,"5,000 x folding carton",5000,A4,STK-SILK-130,4/0,{},delivered,2026-07-20 00:00:00,2026-07-28,2026-07-27,"Ramco Group Industrial Park, Mombasa Road",203906.6
4328,d111925e-7504-d72d-152e-503bed7db6cc,ca320f44-32ef-0807-48a1-028f7a308ec3,ramco-printing,DUO,monthly magazine,"10,000 x monthly magazine",10000,A4,STK-REC-120,4/4,"{FIN-MATTLAM,FIN-SOFTLAM}",delivered,2025-12-09 00:00:00,2025-12-16,2025-12-15,"Ramco Group Industrial Park, Mombasa Road",359546.8
4329,2a27a916-5c7e-b7da-75da-e841e7d303bc,b09d19e5-010d-4b02-8260-aab968ca19c4,ramco-printing,IX,exhibition backdrop,"1,000 x exhibition backdrop",1000,90x54mm,STK-SILK-130,4/0,{FIN-MATTLAM},dispatched,2026-07-17 00:00:00,2026-07-21,2026-07-21,"Ramco Group Industrial Park, Mombasa Road",146609.75
4330,72dd4feb-facf-13d3-79a2-1d440e62147b,dc71eebd-0fbb-7cd6-4b00-31c6d96567e9,ramco-printing,DUO,paperback book 300pp,500 x paperback book 300pp,500,A4,STK-BOARD-250,1/0,{},dispatched,2026-01-21 00:00:00,2026-01-26,2026-01-26,"Ramco Group Industrial Park, Mombasa Road",15616.78
4331,264f9508-8edc-52a7-5b1f-e22ec5f9d06b,01c4f432-629f-34fb-0349-aaed0409d7d5,ramco-printing,DUO,carton sleeve,"2,000 x carton sleeve",2000,90x54mm,STK-SILK-130,4/4,"{FIN-SADDLE,FIN-EMBOSS}",dispatched,2026-02-21 00:00:00,2026-03-02,2026-03-05,"Ramco Group Industrial Park, Mombasa Road",338820.51
4332,5abb59de-2e94-70ef-2be5-2f571f1cd5d0,ff084025-060b-5b7b-af58-dc658925bc47,ramco-printing,HEX,B5 notebook,500 x B5 notebook,500,A3,STK-BOARD-300,4/0,"{FIN-PERFECT,FIN-EMBOSS}",delivered,2026-03-29 00:00:00,2026-04-06,2026-04-05,"Ramco Group Industrial Park, Mombasa Road",102099.39
4333,b57b7fce-5d68-09f5-81b2-64659e8e058a,9a2ad290-88ba-54aa-6f88-b9f37ff3f1c6,ramco-printing,IX,branded pens,500 x branded pens,500,A5,STK-BOARD-300,4/4,{FIN-DIECUT},delivered,2026-07-01 00:00:00,2026-07-09,2026-07-08,"Ramco Group Industrial Park, Mombasa Road",33571.45
4334,273f0a46-b0e0-15e4-2eea-537dd458199d,4291c571-c4fa-5036-e9bd-38c5528ee0cc,ramco-printing,HEX,desk diary 2027,"10,000 x desk diary 2027",10000,A5,STK-BOARD-250,4/0,"{FIN-MATTLAM,FIN-SADDLE}",dispatched,2026-01-03 00:00:00,2026-01-11,2026-01-11,"Ramco Group Industrial Park, Mombasa Road",500916.23
4335,0cc5931b-dc52-f784-0872-50562390e483,a0934c7e-ae91-95c0-06b6-532e43e53b57,ramco-printing,IX,branded pens,"10,000 x branded pens",10000,A5,STK-GLOSS-170,1/0,{},delivered,2026-02-02 00:00:00,2026-02-08,2026-02-09,"Ramco Group Industrial Park, Mombasa Road",1336587.32
4336,1fa48a73-7222-9877-55df-b36e5fc29844,3c156eb4-18f9-4428-6c5d-64c8c26b19a1,ramco-printing,IX,pull-up banner,250 x pull-up banner,250,90x54mm,STK-GLOSS-170,1/0,"{FIN-SOFTLAM,FIN-GLOSSLAM}",delivered,2026-01-14 00:00:00,2026-01-20,2026-01-17,"Ramco Group Industrial Park, Mombasa Road",20901.56
4337,d0cafddc-2be4-913d-30a1-8954f446d827,e7611437-9d00-66f8-bc94-cc3aa3e2ad45,ramco-printing,HEX,A5 hardcover notebook,500 x A5 hardcover notebook,500,std,STK-SILK-130,4/0,{FIN-SOFTLAM},delivered,2026-01-01 00:00:00,2026-01-07,2026-01-06,"Ramco Group Industrial Park, Mombasa Road",5867.87
4338,52b54707-0030-b7df-aa8c-0f0777fd344d,c231304b-d8b6-2822-ec28-bd04fed209ea,ramco-printing,HEX,A5 softcover journal,"5,000 x A5 softcover journal",5000,90x54mm,STK-BOND-80,1/0,{FIN-DIECUT},delivered,2026-06-01 00:00:00,2026-06-09,2026-06-06,"Ramco Group Industrial Park, Mombasa Road",398530.02
4339,72dd4feb-facf-13d3-79a2-1d440e62147b,dc71eebd-0fbb-7cd6-4b00-31c6d96567e9,ramco-printing,HEX,pocket diary 2027,"1,000 x pocket diary 2027",1000,A5,STK-REC-120,4/0,{},delivered,2026-06-20 00:00:00,2026-06-27,2026-06-27,"Ramco Group Industrial Park, Mombasa Road",185278.65
4340,0cc5931b-dc52-f784-0872-50562390e483,a0934c7e-ae91-95c0-06b6-532e43e53b57,ramco-printing,HEX,desk diary 2027,"1,000 x desk diary 2027",1000,90x54mm,STK-BOARD-350,1/0,{FIN-CASE},delivered,2025-12-07 00:00:00,2025-12-15,2025-12-15,"Ramco Group Industrial Park, Mombasa Road",68392.66
4341,0cd87a05-096d-b4c7-e804-63323654b0e1,e49442d0-dccc-078a-807c-fd9ad5a12999,ramco-printing,UNO,A4 booklet 24pp,"10,000 x A4 booklet 24pp",10000,A3,STK-BOND-80,1/0,{},dispatched,2026-06-12 00:00:00,2026-06-16,2026-06-16,"Dunga Close, Industrial Area",351036.55
4342,72dd4feb-facf-13d3-79a2-1d440e62147b,dc71eebd-0fbb-7cd6-4b00-31c6d96567e9,ramco-printing,UNO,presentation folder,"1,000 x presentation folder",1000,std,STK-GLOSS-170,4/4,{},dispatched,2026-03-15 00:00:00,2026-03-21,2026-03-19,"Dunga Close, Industrial Area",109201.61
4343,a6e43db4-0e02-1dce-b316-ec6483e80d5e,38979c95-6fbf-b1fe-8679-04df08b6f2fa,ramco-printing,DUO,carton sleeve,"1,000 x carton sleeve",1000,A4,STK-SILK-130,4/0,{FIN-SPOTUV},dispatched,2026-01-18 00:00:00,2026-01-23,2026-01-23,"Ramco Group Industrial Park, Mombasa Road",108762.46
4344,61a6c6b5-7d4a-e5df-355b-adfdc4bf176a,2bf3e9fe-1913-608e-8147-3b4564b45b91,ramco-printing,IX,pull-up banner,250 x pull-up banner,250,A3,STK-BOND-80,4/4,"{FIN-SADDLE,FIN-EMBOSS}",delivered,2026-07-31 00:00:00,2026-08-06,2026-08-05,"Ramco Group Industrial Park, Mombasa Road",38585.14
4345,431a0612-649b-ac0c-b17f-741d131f33b3,584b3241-c9ee-a154-e860-4048b9bdf1a3,ramco-printing,UNO,A4 booklet 24pp,500 x A4 booklet 24pp,500,std,STK-SILK-150,4/4,{FIN-SPOTUV},delivered,2026-03-13 00:00:00,2026-03-22,2026-03-23,"Dunga Close, Industrial Area",45504.35
4346,f698aed6-9f84-5bec-cc70-d1998377c749,34710e36-9dd6-55be-0e49-909910e22277,ramco-printing,DUO,product label roll,"5,000 x product label roll",5000,90x54mm,STK-BOND-80,1/0,{},dispatched,2026-06-18 00:00:00,2026-06-27,2026-06-23,"Ramco Group Industrial Park, Mombasa Road",180720.47
4347,69685250-e02d-3f69-b8f3-6afa01b9357a,3db7a10e-4777-589d-050b-92248c1f6235,ramco-printing,HEX,B5 notebook,500 x B5 notebook,500,std,STK-GLOSS-170,4/4,{FIN-PERFECT},delivered,2026-07-22 00:00:00,2026-08-01,2026-08-01,"Ramco Group Industrial Park, Mombasa Road",27819.09
4348,25eb2245-41ad-78e8-9a51-101ffb45ae29,5faee57e-5c1f-e2ff-1a10-8a11189b8a22,ramco-printing,DUO,monthly magazine,250 x monthly magazine,250,std,STK-GLOSS-170,4/4,"{FIN-GLOSSLAM,FIN-EMBOSS}",delivered,2026-02-08 00:00:00,2026-02-17,2026-02-18,"Ramco Group Industrial Park, Mombasa Road",18111.51
4349,1fa48a73-7222-9877-55df-b36e5fc29844,3c156eb4-18f9-4428-6c5d-64c8c26b19a1,ramco-printing,UNO,letterheads,"10,000 x letterheads",10000,A3,STK-BOARD-250,4/0,{},delivered,2026-03-06 00:00:00,2026-03-09,2026-03-09,"Dunga Close, Industrial Area",2009406.94
4350,0cc5931b-dc52-f784-0872-50562390e483,a0934c7e-ae91-95c0-06b6-532e43e53b57,ramco-printing,IX,pull-up banner,250 x pull-up banner,250,A3,STK-GLOSS-170,4/0,{},dispatched,2025-12-11 00:00:00,2025-12-19,2025-12-15,"Ramco Group Industrial Park, Mombasa Road",28313.66
4351,30917424-9b81-3f23-0d08-4a01d60b505d,22ea34e6-8e07-f76d-1702-91d1ba5c03b1,ramco-printing,HEX,pocket diary 2027,"5,000 x pocket diary 2027",5000,std,STK-REC-120,4/4,"{FIN-MATTLAM,FIN-WIRO}",delivered,2025-12-30 00:00:00,2026-01-05,2026-01-04,"Ramco Group Industrial Park, Mombasa Road",957384.19
4352,f698aed6-9f84-5bec-cc70-d1998377c749,34710e36-9dd6-55be-0e49-909910e22277,ramco-printing,HEX,A5 softcover journal,"2,000 x A5 softcover journal",2000,A5,STK-SILK-130,1/0,"{FIN-WIRO,FIN-MATTLAM}",dispatched,2026-01-18 00:00:00,2026-01-26,2026-01-23,"Ramco Group Industrial Park, Mombasa Road",219939.92
4353,d0cafddc-2be4-913d-30a1-8954f446d827,e7611437-9d00-66f8-bc94-cc3aa3e2ad45,ramco-printing,IX,branded pens,"2,000 x branded pens",2000,std,STK-BOARD-350,4/4,"{FIN-CASE,FIN-MATTLAM}",delivered,2026-01-19 00:00:00,2026-01-26,2026-01-28,"Ramco Group Industrial Park, Mombasa Road",272295.65
4354,056acd07-b13e-29f4-fcee-2c1b453aba36,7ab62628-711f-3b4f-a641-93f0eee77be0,ramco-printing,DUO,paperback book 300pp,"2,000 x paperback book 300pp",2000,A4,STK-BOARD-250,1/0,{FIN-SPOTUV},dispatched,2025-12-02 00:00:00,2025-12-09,2025-12-06,"Ramco Group Industrial Park, Mombasa Road",234335.47
4355,5f66bb0d-da5a-b328-4211-0288cdc4ba6f,dc2254cf-5a5e-592b-3ab6-d4f483210d81,ramco-printing,HEX,B5 notebook,"2,000 x B5 notebook",2000,std,STK-SILK-150,4/4,{},dispatched,2026-03-19 00:00:00,2026-03-28,2026-03-25,"Ramco Group Industrial Park, Mombasa Road",280647.28
4356,0cd87a05-096d-b4c7-e804-63323654b0e1,e49442d0-dccc-078a-807c-fd9ad5a12999,ramco-printing,UNO,compliment slips,"5,000 x compliment slips",5000,A3,STK-SILK-150,1/0,{FIN-SADDLE},delivered,2026-07-28 00:00:00,2026-08-07,2026-08-04,"Dunga Close, Industrial Area",793022.57
4357,216e5023-45f9-fbac-d29d-859395858d97,2c995d46-5713-ab8f-9d1a-1c594a8a812d,ramco-printing,IX,vehicle branding set,"1,000 x vehicle branding set",1000,std,STK-BOND-80,4/4,{FIN-DIECUT},delivered,2026-02-12 00:00:00,2026-02-20,2026-02-22,"Ramco Group Industrial Park, Mombasa Road",41354.12
4358,dbc3b092-5210-ecf2-db66-87e70035347c,f89a46b6-7c1c-b426-62f3-8215dc07d6eb,ramco-printing,IX,eco gift set,"5,000 x eco gift set",5000,A3,STK-GLOSS-130,1/0,"{FIN-EMBOSS,FIN-CASE}",delivered,2026-02-03 00:00:00,2026-02-06,2026-02-06,"Ramco Group Industrial Park, Mombasa Road",640520.66
4359,5f66bb0d-da5a-b328-4211-0288cdc4ba6f,dc2254cf-5a5e-592b-3ab6-d4f483210d81,ramco-printing,HEX,A5 hardcover notebook,500 x A5 hardcover notebook,500,A5,STK-BOND-80,1/0,"{FIN-EMBOSS,FIN-PERFECT}",delivered,2026-01-25 00:00:00,2026-02-01,2026-01-30,"Ramco Group Industrial Park, Mombasa Road",51756.16
4360,644f0335-74ad-84e7-c2fe-e1ba6f020342,59944213-0ced-0c48-86a5-240a169f361f,ramco-printing,DUO,folding carton,"1,000 x folding carton",1000,A5,STK-BOND-100,1/0,{FIN-SPOTUV},delivered,2025-11-21 00:00:00,2025-11-30,2025-11-26,"Ramco Group Industrial Park, Mombasa Road",80200.51
4361,e2fb492f-f2af-0e4a-b09a-10a7853c7d4f,2ab534a3-f438-f606-437c-af59e745e900,ramco-printing,HEX,pocket diary 2027,"5,000 x pocket diary 2027",5000,A3,STK-BOND-100,4/4,"{FIN-CASE,FIN-EMBOSS}",delivered,2026-04-08 00:00:00,2026-04-12,2026-04-13,"Ramco Group Industrial Park, Mombasa Road",283817.66
4362,1fa48a73-7222-9877-55df-b36e5fc29844,3c156eb4-18f9-4428-6c5d-64c8c26b19a1,ramco-printing,HEX,A5 softcover journal,"10,000 x A5 softcover journal",10000,A5,STK-REC-120,1/0,{},delivered,2025-12-05 00:00:00,2025-12-14,2025-12-10,"Ramco Group Industrial Park, Mombasa Road",1243695.34
4363,5abb59de-2e94-70ef-2be5-2f571f1cd5d0,ff084025-060b-5b7b-af58-dc658925bc47,ramco-printing,HEX,A5 hardcover notebook,"5,000 x A5 hardcover notebook",5000,A3,STK-KRAFT-280,4/0,"{FIN-DIECUT,FIN-FOIL}",delivered,2025-12-13 00:00:00,2025-12-21,2025-12-18,"Ramco Group Industrial Park, Mombasa Road",705688.2
4364,f0976376-bdc7-6d35-b8b2-e6e3cb2a0036,219cc90c-4bdc-b03c-9b49-6226149148ae,ramco-printing,IX,eco gift set,"1,000 x eco gift set",1000,std,STK-BOND-100,4/4,{FIN-CASE},delivered,2026-04-28 00:00:00,2026-05-05,2026-05-05,"Ramco Group Industrial Park, Mombasa Road",34250.01
4365,644f0335-74ad-84e7-c2fe-e1ba6f020342,59944213-0ced-0c48-86a5-240a169f361f,ramco-printing,UNO,business cards,"5,000 x business cards",5000,A4,STK-BOND-100,4/4,"{FIN-EMBOSS,FIN-CASE}",dispatched,2026-07-20 00:00:00,2026-07-25,2026-07-25,"Dunga Close, Industrial Area",469588.0
4366,92eba0e3-1087-a447-9bae-74f56bef94c2,91bc18f7-c9a7-df36-290a-1d75df00ec35,ramco-printing,IX,pull-up banner,250 x pull-up banner,250,A5,STK-BOARD-250,1/0,"{FIN-SOFTLAM,FIN-CASE}",dispatched,2026-05-30 00:00:00,2026-06-07,2026-06-06,"Ramco Group Industrial Park, Mombasa Road",19459.79
4367,2a27a916-5c7e-b7da-75da-e841e7d303bc,b09d19e5-010d-4b02-8260-aab968ca19c4,ramco-printing,IX,eco gift set,"1,000 x eco gift set",1000,A3,STK-SILK-150,4/4,{},delivered,2026-07-16 00:00:00,2026-07-25,2026-07-22,"Ramco Group Industrial Park, Mombasa Road",37384.27
4368,4066f493-868c-4f3d-16c6-1a9458abe20c,2f03c25f-fe75-f120-6346-1fb694fcd7a0,ramco-printing,UNO,business cards,250 x business cards,250,std,STK-SILK-150,1/0,{},dispatched,2026-07-26 00:00:00,2026-08-03,2026-07-30,"Dunga Close, Industrial Area",24372.25
4369,cc9a38b8-22cd-3a50-f6b1-0a7fc187593a,d52d6b71-af68-8d69-44eb-89baadef9f17,ramco-printing,HEX,B5 notebook,"5,000 x B5 notebook",5000,A3,STK-KRAFT-280,4/0,{FIN-EMBOSS},dispatched,2025-12-18 00:00:00,2025-12-24,2025-12-24,"Ramco Group Industrial Park, Mombasa Road",662889.36
4370,72dd4feb-facf-13d3-79a2-1d440e62147b,dc71eebd-0fbb-7cd6-4b00-31c6d96567e9,ramco-printing,DUO,monthly magazine,"10,000 x monthly magazine",10000,A5,STK-SILK-130,1/0,{FIN-SPOTUV},delivered,2025-11-14 00:00:00,2025-11-18,2025-11-18,"Ramco Group Industrial Park, Mombasa Road",204622.08
4371,d111925e-7504-d72d-152e-503bed7db6cc,ca320f44-32ef-0807-48a1-028f7a308ec3,ramco-printing,IX,eco gift set,250 x eco gift set,250,std,STK-BOARD-300,4/4,{},dispatched,2026-07-22 00:00:00,2026-07-27,2026-07-27,"Ramco Group Industrial Park, Mombasa Road",23954.6
4372,fdee6e16-066c-ffcc-87bd-d0d370dcd6eb,a589fd34-54a4-a88e-0448-fd72532b7ba8,ramco-printing,HEX,pocket diary 2027,"10,000 x pocket diary 2027",10000,A5,STK-BOND-80,4/4,{},delivered,2026-01-13 00:00:00,2026-01-20,2026-01-21,"Ramco Group Industrial Park, Mombasa Road",2050746.93
4373,0cd87a05-096d-b4c7-e804-63323654b0e1,e49442d0-dccc-078a-807c-fd9ad5a12999,ramco-printing,IX,vehicle branding set,"1,000 x vehicle branding set",1000,A5,STK-SILK-130,4/0,"{FIN-GLOSSLAM,FIN-SADDLE}",dispatched,2026-02-22 00:00:00,2026-03-01,2026-03-02,"Ramco Group Industrial Park, Mombasa Road",189180.39
4374,273f0a46-b0e0-15e4-2eea-537dd458199d,4291c571-c4fa-5036-e9bd-38c5528ee0cc,ramco-printing,HEX,desk diary 2027,250 x desk diary 2027,250,std,STK-REC-120,1/0,{FIN-PERFECT},delivered,2026-05-04 00:00:00,2026-05-10,2026-05-11,"Ramco Group Industrial Park, Mombasa Road",8712.94
4375,5824d67b-7c9b-d73a-a492-78cf9a10f5c7,8f3feab8-c665-c5fb-4b7b-ef79010f06d0,ramco-printing,DUO,carton sleeve,500 x carton sleeve,500,A3,STK-KRAFT-280,4/0,{},delivered,2026-05-08 00:00:00,2026-05-18,2026-05-15,"Ramco Group Industrial Park, Mombasa Road",29149.88
4376,0cd87a05-096d-b4c7-e804-63323654b0e1,e49442d0-dccc-078a-807c-fd9ad5a12999,ramco-printing,DUO,product label roll,"1,000 x product label roll",1000,A3,STK-BOARD-350,4/0,"{FIN-CASE,FIN-FOIL}",delivered,2026-07-16 00:00:00,2026-07-25,2026-07-22,"Ramco Group Industrial Park, Mombasa Road",34679.59
4377,5ed7e7d8-8371-128d-9e01-df5e9d3259b2,a2d67baf-cf49-0368-6246-39b37558304b,ramco-printing,HEX,desk diary 2027,"2,000 x desk diary 2027",2000,A3,STK-BOND-80,4/4,{FIN-GLOSSLAM},dispatched,2026-05-15 00:00:00,2026-05-22,2026-05-21,"Ramco Group Industrial Park, Mombasa Road",353089.11
