flight_no,flight_date,seats_total,seats_sold,seats_remaining,status
F2-196,2026-08-17,37,32,5,open
F2-102,2026-08-18,12,11,1,open
F2-104,2026-08-18,12,11,1,open
F2-106,2026-08-18,12,7,5,open
F2-110,2026-08-18,12,10,2,open
F2-112,2026-08-18,12,10,2,open
F2-114,2026-08-18,12,12,0,closed
F2-116,2026-08-18,12,8,4,open
F2-118,2026-08-18,12,11,1,open
F2-122,2026-08-18,12,9,3,open
F2-124,2026-08-18,12,10,2,open
F2-126,2026-08-18,12,10,2,open
F2-130,2026-08-18,12,10,2,open
F2-132,2026-08-18,12,11,1,open
F2-134,2026-08-18,12,11,1,open
F2-138,2026-08-18,12,9,3,open
F2-140,2026-08-18,12,10,2,open
F2-142,2026-08-18,50,50,0,closed
F2-146,2026-08-18,12,7,5,open
F2-148,2026-08-18,12,8,4,open
F2-150,2026-08-18,12,11,1,open
F2-152,2026-08-18,12,8,4,open
F2-154,2026-08-18,12,10,2,open
F2-158,2026-08-18,12,9,3,open
F2-160,2026-08-18,50,41,9,open
F2-162,2026-08-18,50,43,7,open
F2-164,2026-08-18,50,31,19,open
F2-166,2026-08-18,50,34,16,open
F2-168,2026-08-18,50,45,5,open
F2-170,2026-08-18,37,23,14,open
F2-172,2026-08-18,37,32,5,open
F2-174,2026-08-18,37,30,7,open
F2-176,2026-08-18,37,27,10,open
F2-178,2026-08-18,50,44,6,open
F2-180,2026-08-18,50,15,35,open
F2-182,2026-08-18,50,29,21,open
F2-184,2026-08-18,50,38,12,open
F2-186,2026-08-18,50,36,14,open
F2-188,2026-08-18,50,45,5,open
F2-190,2026-08-18,37,31,6,open
F2-192,2026-08-18,37,36,1,open
F2-194,2026-08-18,37,32,5,open
F2-196,2026-08-18,37,37,0,closed
F2-104,2026-08-19,12,12,0,closed
F2-106,2026-08-19,12,12,0,closed
F2-108,2026-08-19,12,11,1,open
F2-110,2026-08-19,12,10,2,open
F2-112,2026-08-19,12,11,1,open
F2-114,2026-08-19,12,9,3,open
F2-118,2026-08-19,12,9,3,open
F2-120,2026-08-19,12,9,3,open
F2-122,2026-08-19,12,12,0,closed
F2-126,2026-08-19,12,8,4,open
F2-128,2026-08-19,12,10,2,open
F2-130,2026-08-19,12,9,3,open
F2-132,2026-08-19,12,11,1,open
F2-134,2026-08-19,12,10,2,open
F2-136,2026-08-19,12,10,2,open
F2-138,2026-08-19,12,9,3,open
F2-140,2026-08-19,12,12,0,closed
F2-142,2026-08-19,50,43,7,open
F2-144,2026-08-19,12,12,0,closed
F2-146,2026-08-19,12,10,2,open
F2-148,2026-08-19,12,10,2,open
F2-150,2026-08-19,12,11,1,open
F2-152,2026-08-19,12,10,2,open
F2-154,2026-08-19,12,9,3,open
F2-156,2026-08-19,12,8,4,open
F2-158,2026-08-19,12,7,5,open
F2-160,2026-08-19,50,34,16,open
F2-162,2026-08-19,50,43,7,open
F2-164,2026-08-19,50,50,0,closed
F2-166,2026-08-19,50,35,15,open
F2-168,2026-08-19,50,50,0,closed
F2-170,2026-08-19,37,33,4,open
F2-172,2026-08-19,37,34,3,open
F2-174,2026-08-19,37,34,3,open
F2-176,2026-08-19,37,37,0,closed
F2-178,2026-08-19,50,40,10,open
F2-180,2026-08-19,50,42,8,open
F2-182,2026-08-19,50,50,0,closed
F2-184,2026-08-19,50,44,6,open
F2-186,2026-08-19,50,48,2,open
F2-188,2026-08-19,50,35,15,open
F2-190,2026-08-19,37,25,12,open
F2-192,2026-08-19,37,26,11,open
F2-194,2026-08-19,37,29,8,open
F2-196,2026-08-19,37,26,11,open
F2-102,2026-08-20,12,9,3,open
F2-104,2026-08-20,12,12,0,closed
F2-106,2026-08-20,12,10,2,open
F2-110,2026-08-20,12,11,1,open
F2-112,2026-08-20,12,9,3,open
F2-114,2026-08-20,12,7,5,open
F2-116,2026-08-20,12,8,4,open
F2-118,2026-08-20,12,10,2,open
F2-122,2026-08-20,12,10,2,open
F2-124,2026-08-20,12,11,1,open
F2-126,2026-08-20,12,11,1,open
F2-130,2026-08-20,12,6,6,open
F2-132,2026-08-20,12,10,2,open
F2-134,2026-08-20,12,9,3,open
F2-138,2026-08-20,12,10,2,open
F2-140,2026-08-20,12,12,0,closed
F2-142,2026-08-20,50,42,8,open
F2-146,2026-08-20,12,10,2,open
F2-148,2026-08-20,12,11,1,open
F2-150,2026-08-20,12,9,3,open
F2-152,2026-08-20,12,11,1,open
F2-154,2026-08-20,12,10,2,open
F2-158,2026-08-20,12,8,4,open
F2-160,2026-08-20,50,38,12,open
F2-162,2026-08-20,50,50,0,closed
F2-164,2026-08-20,50,30,20,open
F2-166,2026-08-20,50,50,0,closed
F2-168,2026-08-20,50,39,11,open
F2-170,2026-08-20,37,34,3,open
F2-172,2026-08-20,37,31,6,open
F2-174,2026-08-20,37,26,11,open
F2-176,2026-08-20,37,34,3,open
F2-178,2026-08-20,50,48,2,open
F2-180,2026-08-20,50,48,2,open
F2-182,2026-08-20,50,49,1,open
F2-184,2026-08-20,50,33,17,open
F2-186,2026-08-20,50,50,0,closed
F2-188,2026-08-20,50,41,9,open
F2-190,2026-08-20,37,26,11,open
F2-192,2026-08-20,37,35,2,open
F2-194,2026-08-20,37,31,6,open
F2-196,2026-08-20,37,32,5,open
F2-104,2026-08-21,12,12,0,closed
F2-106,2026-08-21,12,10,2,open
F2-108,2026-08-21,12,9,3,open
F2-110,2026-08-21,12,11,1,open
F2-112,2026-08-21,12,9,3,open
F2-114,2026-08-21,12,8,4,open
F2-118,2026-08-21,12,11,1,open
F2-120,2026-08-21,12,8,4,open
F2-122,2026-08-21,12,12,0,closed
F2-126,2026-08-21,12,9,3,open
F2-128,2026-08-21,12,11,1,open
F2-130,2026-08-21,12,10,2,open
F2-132,2026-08-21,12,10,2,open
F2-134,2026-08-21,12,9,3,open
F2-136,2026-08-21,12,9,3,open
F2-138,2026-08-21,12,11,1,open
F2-140,2026-08-21,12,8,4,open
F2-142,2026-08-21,50,38,12,open
F2-144,2026-08-21,12,12,0,closed
F2-146,2026-08-21,12,11,1,open
F2-148,2026-08-21,12,6,6,open
F2-150,2026-08-21,12,12,0,closed
F2-152,2026-08-21,12,11,1,open
F2-154,2026-08-21,12,10,2,open
F2-156,2026-08-21,12,9,3,open
F2-158,2026-08-21,12,11,1,open
F2-160,2026-08-21,50,46,4,open
F2-162,2026-08-21,50,36,14,open
F2-164,2026-08-21,50,33,17,open
F2-166,2026-08-21,50,44,6,open
F2-168,2026-08-21,50,25,25,open
F2-170,2026-08-21,37,29,8,open
F2-172,2026-08-21,37,29,8,open
F2-174,2026-08-21,37,28,9,open
F2-176,2026-08-21,37,28,9,open
F2-178,2026-08-21,50,44,6,open
F2-180,2026-08-21,50,49,1,open
F2-182,2026-08-21,50,36,14,open
F2-184,2026-08-21,50,42,8,open
F2-186,2026-08-21,50,41,9,open
F2-188,2026-08-21,50,40,10,open
F2-190,2026-08-21,37,33,4,open
F2-192,2026-08-21,37,27,10,open
F2-194,2026-08-21,37,36,1,open
F2-196,2026-08-21,37,33,4,open
F2-102,2026-08-22,12,12,0,closed
F2-104,2026-08-22,12,12,0,closed
F2-106,2026-08-22,12,10,2,open
F2-110,2026-08-22,12,8,4,open
F2-112,2026-08-22,12,8,4,open
F2-114,2026-08-22,12,12,0,closed
F2-116,2026-08-22,12,10,2,open
F2-118,2026-08-22,12,9,3,open
F2-122,2026-08-22,12,11,1,open
F2-124,2026-08-22,12,8,4,open
F2-126,2026-08-22,12,11,1,open
F2-130,2026-08-22,12,9,3,open
F2-132,2026-08-22,12,8,4,open
F2-134,2026-08-22,12,9,3,open
F2-138,2026-08-22,12,8,4,open
F2-140,2026-08-22,12,8,4,open
F2-142,2026-08-22,50,39,11,open
F2-146,2026-08-22,12,8,4,open
F2-148,2026-08-22,12,9,3,open
F2-150,2026-08-22,12,8,4,open
F2-152,2026-08-22,12,8,4,open
F2-154,2026-08-22,12,11,1,open
F2-158,2026-08-22,12,9,3,open
F2-160,2026-08-22,50,40,10,open
F2-162,2026-08-22,50,43,7,open
F2-164,2026-08-22,50,32,18,open
F2-166,2026-08-22,50,44,6,open
F2-168,2026-08-22,50,44,6,open
F2-170,2026-08-22,37,26,11,open
F2-172,2026-08-22,37,27,10,open
F2-174,2026-08-22,37,35,2,open
F2-176,2026-08-22,37,25,12,open
F2-178,2026-08-22,50,38,12,open
F2-180,2026-08-22,50,37,13,open
F2-182,2026-08-22,50,50,0,closed
F2-184,2026-08-22,50,40,10,open
F2-186,2026-08-22,50,43,7,open
F2-188,2026-08-22,50,45,5,open
F2-190,2026-08-22,37,31,6,open
F2-192,2026-08-22,37,35,2,open
F2-194,2026-08-22,37,34,3,open
F2-196,2026-08-22,37,31,6,open
F2-104,2026-08-23,12,10,2,open
F2-106,2026-08-23,12,9,3,open
F2-108,2026-08-23,12,12,0,closed
F2-110,2026-08-23,12,10,2,open
F2-112,2026-08-23,12,12,0,closed
F2-114,2026-08-23,12,10,2,open
F2-118,2026-08-23,12,9,3,open
F2-120,2026-08-23,12,10,2,open
F2-122,2026-08-23,12,11,1,open
F2-126,2026-08-23,12,12,0,closed
F2-128,2026-08-23,12,9,3,open
F2-130,2026-08-23,12,9,3,open
F2-132,2026-08-23,12,10,2,open
F2-134,2026-08-23,12,12,0,closed
F2-136,2026-08-23,12,8,4,open
F2-138,2026-08-23,12,8,4,open
F2-140,2026-08-23,12,11,1,open
F2-142,2026-08-23,50,33,17,open
F2-144,2026-08-23,12,10,2,open
F2-146,2026-08-23,12,10,2,open
F2-148,2026-08-23,12,10,2,open
F2-150,2026-08-23,12,10,2,open
F2-152,2026-08-23,12,9,3,open
F2-154,2026-08-23,12,9,3,open
F2-156,2026-08-23,12,10,2,open
F2-158,2026-08-23,12,11,1,open
F2-160,2026-08-23,50,41,9,open
F2-162,2026-08-23,50,31,19,open
F2-164,2026-08-23,50,39,11,open
F2-166,2026-08-23,50,38,12,open
F2-168,2026-08-23,50,49,1,open
F2-170,2026-08-23,37,30,7,open
F2-172,2026-08-23,37,32,5,open
F2-174,2026-08-23,37,23,14,open
F2-176,2026-08-23,37,33,4,open
F2-178,2026-08-23,50,49,1,open
F2-180,2026-08-23,50,40,10,open
F2-182,2026-08-23,50,50,0,closed
F2-184,2026-08-23,50,35,15,open
F2-186,2026-08-23,50,27,23,open
F2-188,2026-08-23,50,25,25,open
F2-190,2026-08-23,37,30,7,open
F2-192,2026-08-23,37,34,3,open
F2-194,2026-08-23,37,28,9,open
F2-196,2026-08-23,37,36,1,open
F2-104,2026-08-24,12,11,1,open
F2-106,2026-08-24,12,9,3,open
F2-108,2026-08-24,12,9,3,open
F2-110,2026-08-24,12,10,2,open
F2-112,2026-08-24,12,11,1,open
F2-114,2026-08-24,12,10,2,open
F2-118,2026-08-24,12,9,3,open
F2-120,2026-08-24,12,10,2,open
F2-122,2026-08-24,12,8,4,open
F2-126,2026-08-24,12,8,4,open
F2-128,2026-08-24,12,9,3,open
F2-130,2026-08-24,12,10,2,open
F2-132,2026-08-24,12,10,2,open
F2-134,2026-08-24,12,12,0,closed
F2-136,2026-08-24,12,9,3,open
F2-138,2026-08-24,12,10,2,open
F2-140,2026-08-24,12,7,5,open
F2-142,2026-08-24,50,44,6,open
F2-144,2026-08-24,12,9,3,open
F2-146,2026-08-24,12,11,1,open
F2-148,2026-08-24,12,10,2,open
F2-150,2026-08-24,12,11,1,open
F2-152,2026-08-24,12,10,2,open
F2-154,2026-08-24,12,9,3,open
F2-156,2026-08-24,12,8,4,open
F2-158,2026-08-24,12,10,2,open
F2-160,2026-08-24,50,35,15,open
F2-162,2026-08-24,50,41,9,open
F2-164,2026-08-24,50,44,6,open
F2-166,2026-08-24,50,48,2,open
F2-168,2026-08-24,50,33,17,open
F2-170,2026-08-24,37,37,0,closed
F2-172,2026-08-24,37,33,4,open
F2-174,2026-08-24,37,33,4,open
F2-176,2026-08-24,37,25,12,open
F2-178,2026-08-24,50,36,14,open
F2-180,2026-08-24,50,47,3,open
F2-182,2026-08-24,50,34,16,open
F2-184,2026-08-24,50,41,9,open
F2-186,2026-08-24,50,43,7,open
F2-188,2026-08-24,50,46,4,open
F2-190,2026-08-24,37,25,12,open
F2-192,2026-08-24,37,32,5,open
F2-194,2026-08-24,37,30,7,open
F2-196,2026-08-24,37,32,5,open
F2-102,2026-08-25,12,10,2,open
F2-104,2026-08-25,12,8,4,open
F2-106,2026-08-25,12,9,3,open
F2-110,2026-08-25,12,7,5,open
F2-112,2026-08-25,12,10,2,open
F2-114,2026-08-25,12,10,2,open
F2-116,2026-08-25,12,7,5,open
F2-118,2026-08-25,12,10,2,open
F2-122,2026-08-25,12,11,1,open
F2-124,2026-08-25,12,9,3,open
F2-126,2026-08-25,12,12,0,closed
F2-130,2026-08-25,12,11,1,open
F2-132,2026-08-25,12,8,4,open
F2-134,2026-08-25,12,9,3,open
F2-138,2026-08-25,12,9,3,open
F2-140,2026-08-25,12,10,2,open
F2-142,2026-08-25,50,45,5,open
F2-146,2026-08-25,12,11,1,open
F2-148,2026-08-25,12,5,7,open
F2-150,2026-08-25,12,11,1,open
F2-152,2026-08-25,12,8,4,open
F2-154,2026-08-25,12,9,3,open
F2-158,2026-08-25,12,9,3,open
F2-160,2026-08-25,50,42,8,open
F2-162,2026-08-25,50,50,0,closed
F2-164,2026-08-25,50,46,4,open
F2-166,2026-08-25,50,50,0,closed
F2-168,2026-08-25,50,50,0,closed
F2-170,2026-08-25,37,28,9,open
F2-172,2026-08-25,37,34,3,open
F2-174,2026-08-25,37,23,14,open
F2-176,2026-08-25,37,32,5,open
F2-178,2026-08-25,50,50,0,closed
F2-180,2026-08-25,50,40,10,open
F2-182,2026-08-25,50,41,9,open
F2-184,2026-08-25,50,28,22,open
F2-186,2026-08-25,50,38,12,open
F2-188,2026-08-25,50,43,7,open
F2-190,2026-08-25,37,33,4,open
F2-192,2026-08-25,37,31,6,open
F2-194,2026-08-25,37,31,6,open
F2-196,2026-08-25,37,30,7,open
F2-104,2026-08-26,12,10,2,open
F2-106,2026-08-26,12,10,2,open
F2-108,2026-08-26,12,11,1,open
F2-110,2026-08-26,12,8,4,open
F2-112,2026-08-26,12,9,3,open
F2-114,2026-08-26,12,8,4,open
F2-118,2026-08-26,12,8,4,open
F2-120,2026-08-26,12,10,2,open
F2-122,2026-08-26,12,12,0,closed
F2-126,2026-08-26,12,10,2,open
F2-128,2026-08-26,12,12,0,closed
F2-130,2026-08-26,12,11,1,open
F2-132,2026-08-26,12,9,3,open
F2-134,2026-08-26,12,9,3,open
F2-136,2026-08-26,12,9,3,open
F2-138,2026-08-26,12,8,4,open
F2-140,2026-08-26,12,8,4,open
F2-142,2026-08-26,50,47,3,open
F2-144,2026-08-26,12,9,3,open
F2-146,2026-08-26,12,11,1,open
F2-148,2026-08-26,12,7,5,open
F2-150,2026-08-26,12,10,2,open
F2-152,2026-08-26,12,8,4,open
F2-154,2026-08-26,12,8,4,open
F2-156,2026-08-26,12,10,2,open
F2-158,2026-08-26,12,12,0,closed
F2-160,2026-08-26,50,44,6,open
F2-162,2026-08-26,50,48,2,open
F2-164,2026-08-26,50,28,22,open
F2-166,2026-08-26,50,45,5,open
F2-168,2026-08-26,50,46,4,open
F2-170,2026-08-26,37,31,6,open
F2-172,2026-08-26,37,31,6,open
F2-174,2026-08-26,37,23,14,open
F2-176,2026-08-26,37,25,12,open
F2-178,2026-08-26,50,50,0,closed
F2-180,2026-08-26,50,50,0,closed
F2-182,2026-08-26,50,47,3,open
