flight_no,flight_date,scheduled_departure,actual_departure,status,reason
F2-134,2026-07-29,2026-07-29T09:30:00,2026-07-29T09:30:00,arrived,
F2-136,2026-07-29,2026-07-29T07:00:00,2026-07-29T07:00:00,arrived,
F2-140,2026-07-29,2026-07-29T07:30:00,,cancelled,Weather - airstrip conditions
F2-146,2026-07-29,2026-07-29T09:00:00,2026-07-29T09:00:00,arrived,
F2-148,2026-07-29,2026-07-29T07:15:00,2026-07-29T07:15:00,arrived,
F2-152,2026-07-29,2026-07-29T07:30:00,2026-07-29T07:30:00,arrived,
F2-154,2026-07-29,2026-07-29T09:15:00,2026-07-29T09:15:00,arrived,
F2-156,2026-07-29,2026-07-29T07:00:00,2026-07-29T07:00:00,arrived,
F2-158,2026-07-29,2026-07-29T09:45:00,2026-07-29T09:45:00,arrived,
F2-162,2026-07-29,2026-07-29T10:15:00,2026-07-29T10:15:00,arrived,
F2-172,2026-07-29,2026-07-29T09:15:00,2026-07-29T09:15:00,arrived,
F2-174,2026-07-29,2026-07-29T07:15:00,2026-07-29T07:15:00,arrived,
F2-182,2026-07-29,2026-07-29T07:30:00,2026-07-29T07:30:00,arrived,
F2-184,2026-07-29,2026-07-29T09:00:00,2026-07-29T09:00:00,arrived,
F2-186,2026-07-29,2026-07-29T07:45:00,2026-07-29T07:45:00,arrived,
F2-196,2026-07-29,2026-07-29T09:30:00,2026-07-29T10:29:00,arrived,Operational
F2-102,2026-07-30,2026-07-30T07:30:00,2026-07-30T07:30:00,arrived,
F2-104,2026-07-30,2026-07-30T10:15:00,2026-07-30T10:15:00,arrived,
F2-110,2026-07-30,2026-07-30T10:15:00,2026-07-30T10:15:00,arrived,
F2-118,2026-07-30,2026-07-30T09:45:00,2026-07-30T09:45:00,arrived,
F2-124,2026-07-30,2026-07-30T07:30:00,2026-07-30T08:40:00,arrived,Operational
F2-134,2026-07-30,2026-07-30T09:30:00,2026-07-30T09:30:00,arrived,
F2-138,2026-07-30,2026-07-30T09:45:00,2026-07-30T09:45:00,arrived,
F2-140,2026-07-30,2026-07-30T07:30:00,2026-07-30T07:30:00,arrived,
F2-142,2026-07-30,2026-07-30T10:15:00,2026-07-30T10:15:00,arrived,
F2-146,2026-07-30,2026-07-30T09:00:00,2026-07-30T09:00:00,arrived,
F2-152,2026-07-30,2026-07-30T07:30:00,2026-07-30T07:30:00,arrived,
F2-162,2026-07-30,2026-07-30T10:15:00,2026-07-30T10:15:00,arrived,
F2-168,2026-07-30,2026-07-30T09:45:00,2026-07-30T09:45:00,arrived,
F2-172,2026-07-30,2026-07-30T09:15:00,2026-07-30T10:02:00,arrived,Operational
F2-176,2026-07-30,2026-07-30T09:30:00,2026-07-30T09:30:00,arrived,
F2-178,2026-07-30,2026-07-30T07:30:00,2026-07-30T08:19:00,arrived,Operational
F2-194,2026-07-30,2026-07-30T07:15:00,2026-07-30T07:15:00,arrived,
F2-110,2026-07-31,2026-07-31T10:15:00,,cancelled,Weather - airstrip conditions
F2-122,2026-07-31,2026-07-31T09:00:00,2026-07-31T09:00:00,arrived,
F2-128,2026-07-31,2026-07-31T07:45:00,2026-07-31T08:33:00,arrived,Operational
F2-138,2026-07-31,2026-07-31T09:45:00,2026-07-31T09:45:00,arrived,
F2-142,2026-07-31,2026-07-31T10:15:00,2026-07-31T10:15:00,arrived,
F2-144,2026-07-31,2026-07-31T07:15:00,2026-07-31T07:15:00,arrived,
F2-150,2026-07-31,2026-07-31T09:15:00,2026-07-31T09:15:00,arrived,
F2-152,2026-07-31,2026-07-31T07:30:00,2026-07-31T07:30:00,arrived,
F2-158,2026-07-31,2026-07-31T09:45:00,2026-07-31T10:54:00,arrived,Operational
F2-160,2026-07-31,2026-07-31T07:00:00,2026-07-31T07:00:00,arrived,
F2-166,2026-07-31,2026-07-31T07:15:00,2026-07-31T07:15:00,arrived,
F2-168,2026-07-31,2026-07-31T09:45:00,2026-07-31T09:45:00,arrived,
F2-172,2026-07-31,2026-07-31T09:15:00,2026-07-31T09:59:00,arrived,Operational
F2-178,2026-07-31,2026-07-31T07:30:00,2026-07-31T07:30:00,arrived,
F2-180,2026-07-31,2026-07-31T09:15:00,2026-07-31T09:15:00,arrived,
F2-186,2026-07-31,2026-07-31T07:45:00,2026-07-31T07:45:00,arrived,
F2-102,2026-08-01,2026-08-01T07:30:00,2026-08-01T07:30:00,arrived,
F2-104,2026-08-01,2026-08-01T10:15:00,2026-08-01T10:15:00,arrived,
F2-110,2026-08-01,2026-08-01T10:15:00,2026-08-01T10:15:00,arrived,
F2-112,2026-08-01,2026-08-01T09:00:00,,cancelled,Weather - airstrip conditions
F2-122,2026-08-01,2026-08-01T09:00:00,2026-08-01T09:00:00,arrived,
F2-124,2026-08-01,2026-08-01T07:30:00,2026-08-01T07:30:00,arrived,
F2-138,2026-08-01,2026-08-01T09:45:00,2026-08-01T09:45:00,arrived,
F2-140,2026-08-01,2026-08-01T07:30:00,2026-08-01T07:30:00,arrived,
F2-148,2026-08-01,2026-08-01T07:15:00,2026-08-01T07:15:00,arrived,
F2-158,2026-08-01,2026-08-01T09:45:00,2026-08-01T09:45:00,arrived,
F2-172,2026-08-01,2026-08-01T09:15:00,2026-08-01T09:15:00,arrived,
F2-176,2026-08-01,2026-08-01T09:30:00,2026-08-01T09:55:00,arrived,Operational
F2-178,2026-08-01,2026-08-01T07:30:00,2026-08-01T07:30:00,arrived,
F2-180,2026-08-01,2026-08-01T09:15:00,2026-08-01T09:15:00,arrived,
F2-188,2026-08-01,2026-08-01T09:00:00,2026-08-01T09:38:00,arrived,Operational
F2-192,2026-08-01,2026-08-01T09:30:00,2026-08-01T09:30:00,arrived,
F2-104,2026-08-02,2026-08-02T10:15:00,2026-08-02T10:15:00,arrived,
F2-114,2026-08-02,2026-08-02T07:30:00,2026-08-02T07:30:00,arrived,
F2-120,2026-08-02,2026-08-02T07:15:00,2026-08-02T07:15:00,arrived,
F2-122,2026-08-02,2026-08-02T09:00:00,2026-08-02T09:00:00,arrived,
F2-126,2026-08-02,2026-08-02T09:30:00,2026-08-02T09:30:00,arrived,
F2-132,2026-08-02,2026-08-02T07:45:00,2026-08-02T07:45:00,arrived,
F2-134,2026-08-02,2026-08-02T09:30:00,,cancelled,Weather - airstrip conditions
F2-136,2026-08-02,2026-08-02T07:00:00,2026-08-02T07:00:00,arrived,
F2-138,2026-08-02,2026-08-02T09:45:00,2026-08-02T09:45:00,arrived,
F2-142,2026-08-02,2026-08-02T10:15:00,2026-08-02T10:15:00,arrived,
F2-152,2026-08-02,2026-08-02T07:30:00,2026-08-02T07:30:00,arrived,
F2-154,2026-08-02,2026-08-02T09:15:00,2026-08-02T09:15:00,arrived,
F2-158,2026-08-02,2026-08-02T09:45:00,2026-08-02T09:45:00,arrived,
F2-160,2026-08-02,2026-08-02T07:00:00,2026-08-02T07:00:00,arrived,
F2-166,2026-08-02,2026-08-02T07:15:00,2026-08-02T07:46:00,arrived,Operational
F2-172,2026-08-02,2026-08-02T09:15:00,2026-08-02T09:15:00,arrived,
F2-174,2026-08-02,2026-08-02T07:15:00,2026-08-02T07:15:00,arrived,
F2-182,2026-08-02,2026-08-02T07:30:00,2026-08-02T07:30:00,arrived,
F2-184,2026-08-02,2026-08-02T09:00:00,2026-08-02T09:00:00,arrived,
F2-192,2026-08-02,2026-08-02T09:30:00,2026-08-02T09:30:00,arrived,
F2-194,2026-08-02,2026-08-02T07:15:00,2026-08-02T07:15:00,arrived,
F2-196,2026-08-02,2026-08-02T09:30:00,2026-08-02T09:30:00,arrived,
F2-104,2026-08-03,2026-08-03T10:15:00,2026-08-03T10:15:00,arrived,
F2-106,2026-08-03,2026-08-03T09:30:00,2026-08-03T09:30:00,arrived,
F2-110,2026-08-03,2026-08-03T10:15:00,2026-08-03T10:15:00,arrived,
F2-118,2026-08-03,2026-08-03T09:45:00,2026-08-03T10:26:00,arrived,Operational
F2-132,2026-08-03,2026-08-03T07:45:00,2026-08-03T07:45:00,arrived,
F2-142,2026-08-03,2026-08-03T10:15:00,2026-08-03T10:15:00,arrived,
F2-144,2026-08-03,2026-08-03T07:15:00,2026-08-03T07:15:00,arrived,
F2-154,2026-08-03,2026-08-03T09:15:00,,cancelled,Weather - airstrip conditions
F2-156,2026-08-03,2026-08-03T07:00:00,2026-08-03T07:00:00,arrived,
F2-160,2026-08-03,2026-08-03T07:00:00,2026-08-03T07:00:00,arrived,
F2-162,2026-08-03,2026-08-03T10:15:00,2026-08-03T10:15:00,arrived,
F2-164,2026-08-03,2026-08-03T09:00:00,2026-08-03T09:00:00,arrived,
F2-182,2026-08-03,2026-08-03T07:30:00,2026-08-03T07:30:00,arrived,
F2-184,2026-08-03,2026-08-03T09:00:00,2026-08-03T09:00:00,arrived,
F2-186,2026-08-03,2026-08-03T07:45:00,2026-08-03T07:45:00,arrived,
F2-102,2026-08-04,2026-08-04T07:30:00,2026-08-04T07:30:00,arrived,
F2-104,2026-08-04,2026-08-04T10:15:00,2026-08-04T10:15:00,arrived,
F2-110,2026-08-04,2026-08-04T10:15:00,2026-08-04T10:15:00,arrived,
F2-112,2026-08-04,2026-08-04T09:00:00,2026-08-04T09:00:00,arrived,
F2-116,2026-08-04,2026-08-04T10:15:00,2026-08-04T10:15:00,arrived,
F2-124,2026-08-04,2026-08-04T07:30:00,2026-08-04T07:30:00,arrived,
F2-132,2026-08-04,2026-08-04T07:45:00,2026-08-04T08:30:00,arrived,Operational
F2-134,2026-08-04,2026-08-04T09:30:00,2026-08-04T09:30:00,arrived,
F2-140,2026-08-04,2026-08-04T07:30:00,,cancelled,Weather - airstrip conditions
F2-146,2026-08-04,2026-08-04T09:00:00,2026-08-04T09:00:00,arrived,
F2-154,2026-08-04,2026-08-04T09:15:00,2026-08-04T09:58:00,arrived,Operational
F2-160,2026-08-04,2026-08-04T07:00:00,,cancelled,Weather - airstrip conditions
F2-164,2026-08-04,2026-08-04T09:00:00,2026-08-04T09:00:00,arrived,
F2-166,2026-08-04,2026-08-04T07:15:00,2026-08-04T08:23:00,arrived,Operational
F2-168,2026-08-04,2026-08-04T09:45:00,2026-08-04T09:45:00,arrived,
F2-172,2026-08-04,2026-08-04T09:15:00,,cancelled,Weather - airstrip conditions
F2-174,2026-08-04,2026-08-04T07:15:00,2026-08-04T07:15:00,arrived,
F2-176,2026-08-04,2026-08-04T09:30:00,2026-08-04T09:30:00,arrived,
F2-184,2026-08-04,2026-08-04T09:00:00,2026-08-04T09:47:00,arrived,Operational
F2-186,2026-08-04,2026-08-04T07:45:00,2026-08-04T07:45:00,arrived,
F2-194,2026-08-04,2026-08-04T07:15:00,,cancelled,Weather - airstrip conditions
F2-108,2026-08-05,2026-08-05T07:45:00,2026-08-05T07:45:00,arrived,
F2-110,2026-08-05,2026-08-05T10:15:00,2026-08-05T10:15:00,arrived,
F2-114,2026-08-05,2026-08-05T07:30:00,2026-08-05T08:33:00,arrived,Operational
F2-120,2026-08-05,2026-08-05T07:15:00,2026-08-05T08:11:00,arrived,Operational
F2-128,2026-08-05,2026-08-05T07:45:00,2026-08-05T08:29:00,arrived,Operational
F2-136,2026-08-05,2026-08-05T07:00:00,2026-08-05T07:00:00,arrived,
F2-138,2026-08-05,2026-08-05T09:45:00,2026-08-05T09:45:00,arrived,
F2-146,2026-08-05,2026-08-05T09:00:00,2026-08-05T09:21:00,arrived,Operational
F2-148,2026-08-05,2026-08-05T07:15:00,2026-08-05T07:15:00,arrived,
F2-164,2026-08-05,2026-08-05T09:00:00,2026-08-05T09:52:00,arrived,Operational
F2-166,2026-08-05,2026-08-05T07:15:00,2026-08-05T07:15:00,arrived,
F2-170,2026-08-05,2026-08-05T07:45:00,2026-08-05T07:45:00,arrived,
F2-178,2026-08-05,2026-08-05T07:30:00,2026-08-05T07:30:00,arrived,
F2-180,2026-08-05,2026-08-05T09:15:00,2026-08-05T09:15:00,arrived,
F2-182,2026-08-05,2026-08-05T07:30:00,2026-08-05T07:30:00,arrived,
F2-186,2026-08-05,2026-08-05T07:45:00,2026-08-05T07:45:00,arrived,
F2-190,2026-08-05,2026-08-05T07:45:00,2026-08-05T07:45:00,arrived,
F2-192,2026-08-05,2026-08-05T09:30:00,,cancelled,Weather - airstrip conditions
F2-196,2026-08-05,2026-08-05T09:30:00,,cancelled,Weather - airstrip conditions
F2-102,2026-08-06,2026-08-06T07:30:00,2026-08-06T07:30:00,arrived,
F2-110,2026-08-06,2026-08-06T10:15:00,2026-08-06T11:03:00,arrived,Operational
F2-112,2026-08-06,2026-08-06T09:00:00,2026-08-06T09:00:00,arrived,
F2-122,2026-08-06,2026-08-06T09:00:00,2026-08-06T09:00:00,arrived,
F2-132,2026-08-06,2026-08-06T07:45:00,2026-08-06T07:45:00,arrived,
F2-134,2026-08-06,2026-08-06T09:30:00,2026-08-06T09:30:00,arrived,
F2-142,2026-08-06,2026-08-06T10:15:00,2026-08-06T10:15:00,arrived,
F2-146,2026-08-06,2026-08-06T09:00:00,2026-08-06T09:00:00,arrived,
F2-150,2026-08-06,2026-08-06T09:15:00,2026-08-06T09:15:00,arrived,
F2-154,2026-08-06,2026-08-06T09:15:00,2026-08-06T09:15:00,arrived,
F2-160,2026-08-06,2026-08-06T07:00:00,2026-08-06T07:00:00,arrived,
F2-162,2026-08-06,2026-08-06T10:15:00,2026-08-06T10:15:00,arrived,
F2-164,2026-08-06,2026-08-06T09:00:00,2026-08-06T09:00:00,arrived,
F2-166,2026-08-06,2026-08-06T07:15:00,2026-08-06T07:15:00,arrived,
F2-172,2026-08-06,2026-08-06T09:15:00,2026-08-06T09:15:00,arrived,
F2-174,2026-08-06,2026-08-06T07:15:00,2026-08-06T07:15:00,arrived,
F2-182,2026-08-06,2026-08-06T07:30:00,2026-08-06T08:20:00,arrived,Operational
F2-184,2026-08-06,2026-08-06T09:00:00,2026-08-06T09:00:00,arrived,
F2-188,2026-08-06,2026-08-06T09:00:00,2026-08-06T09:00:00,arrived,
F2-192,2026-08-06,2026-08-06T09:30:00,2026-08-06T09:30:00,arrived,
F2-194,2026-08-06,2026-08-06T07:15:00,2026-08-06T07:15:00,arrived,
F2-108,2026-08-07,2026-08-07T07:45:00,2026-08-07T07:45:00,arrived,
F2-120,2026-08-07,2026-08-07T07:15:00,2026-08-07T07:15:00,arrived,
F2-128,2026-08-07,2026-08-07T07:45:00,2026-08-07T07:45:00,arrived,
F2-132,2026-08-07,2026-08-07T07:45:00,2026-08-07T07:45:00,arrived,
F2-134,2026-08-07,2026-08-07T09:30:00,2026-08-07T09:30:00,arrived,
F2-142,2026-08-07,2026-08-07T10:15:00,,cancelled,Weather - airstrip conditions
F2-144,2026-08-07,2026-08-07T07:15:00,2026-08-07T07:15:00,arrived,
F2-156,2026-08-07,2026-08-07T07:00:00,2026-08-07T07:00:00,arrived,
F2-162,2026-08-07,2026-08-07T10:15:00,2026-08-07T10:15:00,arrived,
F2-164,2026-08-07,2026-08-07T09:00:00,2026-08-07T09:00:00,arrived,
F2-170,2026-08-07,2026-08-07T07:45:00,2026-08-07T08:02:00,arrived,Operational
F2-172,2026-08-07,2026-08-07T09:15:00,,cancelled,Weather - airstrip conditions
F2-174,2026-08-07,2026-08-07T07:15:00,2026-08-07T07:15:00,arrived,
F2-176,2026-08-07,2026-08-07T09:30:00,2026-08-07T09:30:00,arrived,
F2-190,2026-08-07,2026-08-07T07:45:00,,cancelled,Weather - airstrip conditions
F2-110,2026-08-08,2026-08-08T10:15:00,2026-08-08T10:15:00,arrived,
F2-124,2026-08-08,2026-08-08T07:30:00,,cancelled,Weather - airstrip conditions
F2-126,2026-08-08,2026-08-08T09:30:00,2026-08-08T09:30:00,arrived,
F2-134,2026-08-08,2026-08-08T09:30:00,2026-08-08T09:30:00,arrived,
F2-138,2026-08-08,2026-08-08T09:45:00,2026-08-08T09:45:00,arrived,
F2-146,2026-08-08,2026-08-08T09:00:00,2026-08-08T09:00:00,arrived,
F2-148,2026-08-08,2026-08-08T07:15:00,2026-08-08T08:25:00,arrived,Operational
F2-150,2026-08-08,2026-08-08T09:15:00,2026-08-08T09:15:00,arrived,
F2-154,2026-08-08,2026-08-08T09:15:00,2026-08-08T09:15:00,arrived,
F2-160,2026-08-08,2026-08-08T07:00:00,2026-08-08T07:00:00,arrived,
F2-162,2026-08-08,2026-08-08T10:15:00,2026-08-08T10:15:00,arrived,
F2-170,2026-08-08,2026-08-08T07:45:00,2026-08-08T08:22:00,arrived,Operational
F2-172,2026-08-08,2026-08-08T09:15:00,2026-08-08T10:01:00,arrived,Operational
F2-174,2026-08-08,2026-08-08T07:15:00,2026-08-08T07:15:00,arrived,
F2-182,2026-08-08,2026-08-08T07:30:00,2026-08-08T07:30:00,arrived,
F2-186,2026-08-08,2026-08-08T07:45:00,2026-08-08T07:45:00,arrived,
F2-188,2026-08-08,2026-08-08T09:00:00,,cancelled,Weather - airstrip conditions
F2-196,2026-08-08,2026-08-08T09:30:00,2026-08-08T09:30:00,arrived,
F2-104,2026-08-09,2026-08-09T10:15:00,2026-08-09T10:38:00,arrived,Operational
F2-114,2026-08-09,2026-08-09T07:30:00,2026-08-09T07:30:00,arrived,
F2-118,2026-08-09,2026-08-09T09:45:00,2026-08-09T09:45:00,arrived,
F2-122,2026-08-09,2026-08-09T09:00:00,2026-08-09T09:00:00,arrived,
F2-128,2026-08-09,2026-08-09T07:45:00,2026-08-09T07:45:00,arrived,
F2-130,2026-08-09,2026-08-09T09:00:00,2026-08-09T09:00:00,arrived,
F2-134,2026-08-09,2026-08-09T09:30:00,2026-08-09T09:30:00,arrived,
F2-136,2026-08-09,2026-08-09T07:00:00,2026-08-09T07:53:00,arrived,Operational
F2-142,2026-08-09,2026-08-09T10:15:00,2026-08-09T10:15:00,arrived,
F2-146,2026-08-09,2026-08-09T09:00:00,2026-08-09T09:00:00,arrived,
F2-148,2026-08-09,2026-08-09T07:15:00,2026-08-09T07:15:00,arrived,
F2-158,2026-08-09,2026-08-09T09:45:00,2026-08-09T09:45:00,arrived,
F2-160,2026-08-09,2026-08-09T07:00:00,2026-08-09T07:00:00,arrived,
F2-168,2026-08-09,2026-08-09T09:45:00,,cancelled,Weather - airstrip conditions
F2-172,2026-08-09,2026-08-09T09:15:00,2026-08-09T09:15:00,arrived,
F2-176,2026-08-09,2026-08-09T09:30:00,2026-08-09T10:02:00,arrived,Operational
F2-180,2026-08-09,2026-08-09T09:15:00,2026-08-09T09:15:00,arrived,
F2-186,2026-08-09,2026-08-09T07:45:00,2026-08-09T07:45:00,arrived,
F2-190,2026-08-09,2026-08-09T07:45:00,2026-08-09T07:45:00,arrived,
F2-196,2026-08-09,2026-08-09T09:30:00,2026-08-09T09:30:00,arrived,
F2-104,2026-08-10,2026-08-10T10:15:00,2026-08-10T10:15:00,arrived,
F2-110,2026-08-10,2026-08-10T10:15:00,2026-08-10T10:15:00,arrived,
F2-112,2026-08-10,2026-08-10T09:00:00,2026-08-10T09:00:00,arrived,
F2-114,2026-08-10,2026-08-10T07:30:00,2026-08-10T07:30:00,arrived,
F2-118,2026-08-10,2026-08-10T09:45:00,2026-08-10T10:49:00,arrived,Operational
F2-120,2026-08-10,2026-08-10T07:15:00,2026-08-10T07:15:00,arrived,
F2-128,2026-08-10,2026-08-10T07:45:00,2026-08-10T07:45:00,arrived,
F2-132,2026-08-10,2026-08-10T07:45:00,2026-08-10T07:45:00,arrived,
F2-134,2026-08-10,2026-08-10T09:30:00,2026-08-10T09:30:00,arrived,
F2-144,2026-08-10,2026-08-10T07:15:00,2026-08-10T07:15:00,arrived,
F2-146,2026-08-10,2026-08-10T09:00:00,2026-08-10T09:00:00,arrived,
F2-152,2026-08-10,2026-08-10T07:30:00,2026-08-10T08:27:00,arrived,Operational
F2-158,2026-08-10,2026-08-10T09:45:00,,cancelled,Weather - airstrip conditions
F2-162,2026-08-10,2026-08-10T10:15:00,2026-08-10T10:15:00,arrived,
F2-174,2026-08-10,2026-08-10T07:15:00,2026-08-10T08:00:00,arrived,Operational
F2-178,2026-08-10,2026-08-10T07:30:00,2026-08-10T07:30:00,arrived,
F2-182,2026-08-10,2026-08-10T07:30:00,2026-08-10T07:30:00,arrived,
F2-194,2026-08-10,2026-08-10T07:15:00,,cancelled,Weather - airstrip conditions
F2-112,2026-08-11,2026-08-11T09:00:00,2026-08-11T09:00:00,arrived,
F2-114,2026-08-11,2026-08-11T07:30:00,2026-08-11T07:30:00,arrived,
F2-116,2026-08-11,2026-08-11T10:15:00,2026-08-11T10:15:00,arrived,
F2-118,2026-08-11,2026-08-11T09:45:00,2026-08-11T09:45:00,arrived,
F2-126,2026-08-11,2026-08-11T09:30:00,2026-08-11T09:30:00,arrived,
F2-140,2026-08-11,2026-08-11T07:30:00,2026-08-11T07:30:00,arrived,
F2-142,2026-08-11,2026-08-11T10:15:00,2026-08-11T10:15:00,arrived,
F2-146,2026-08-11,2026-08-11T09:00:00,2026-08-11T09:00:00,arrived,
F2-152,2026-08-11,2026-08-11T07:30:00,2026-08-11T07:30:00,arrived,
F2-154,2026-08-11,2026-08-11T09:15:00,2026-08-11T09:15:00,arrived,
F2-164,2026-08-11,2026-08-11T09:00:00,2026-08-11T09:00:00,arrived,
F2-168,2026-08-11,2026-08-11T09:45:00,2026-08-11T09:45:00,arrived,
F2-172,2026-08-11,2026-08-11T09:15:00,2026-08-11T09:15:00,arrived,
F2-174,2026-08-11,2026-08-11T07:15:00,2026-08-11T07:15:00,arrived,
F2-176,2026-08-11,2026-08-11T09:30:00,2026-08-11T09:30:00,arrived,
F2-178,2026-08-11,2026-08-11T07:30:00,2026-08-11T07:30:00,arrived,
F2-180,2026-08-11,2026-08-11T09:15:00,2026-08-11T10:18:00,arrived,Operational
F2-186,2026-08-11,2026-08-11T07:45:00,2026-08-11T07:45:00,arrived,
F2-192,2026-08-11,2026-08-11T09:30:00,2026-08-11T10:13:00,arrived,Operational
