order_id,account_id,contact_id,tenant_id,branch_id,order_date,status,delivery_date,subtotal,vat,total,currency
SO-2011,ea938fb0-0084-6aba-6d9e-9f0c793b22c6,b01a7154-dd90-a260-74ed-d3ec54a67c04,sai-ke,8efa6771-e1d6-8ea8-08d8-13c5a1acffce,2025-10-10,delivered,2025-10-12,43658.93,6985.43,50644.36,KES
SO-2012,ea938fb0-0084-6aba-6d9e-9f0c793b22c6,b01a7154-dd90-a260-74ed-d3ec54a67c04,sai-ke,8efa6771-e1d6-8ea8-08d8-13c5a1acffce,2025-09-13,delivered,2025-09-15,43658.93,6985.43,50644.36,KES
SO-2013,f3e21a56-a02d-0377-5fdf-351a439d3c05,ad7ffc2d-68fd-bdb6-78cd-f10fff39af01,sai-ke,0f9aa6b8-15cc-0d9b-56c3-61f5f86544f9,2026-07-04,delivered,2026-07-06,106940.57,17110.49,124051.06,KES
SO-2014,f3e21a56-a02d-0377-5fdf-351a439d3c05,ad7ffc2d-68fd-bdb6-78cd-f10fff39af01,sai-ke,0f9aa6b8-15cc-0d9b-56c3-61f5f86544f9,2026-06-05,delivered,2026-06-07,160237.98,25638.08,185876.06,KES
SO-2015,f3e21a56-a02d-0377-5fdf-351a439d3c05,ad7ffc2d-68fd-bdb6-78cd-f10fff39af01,sai-ke,0f9aa6b8-15cc-0d9b-56c3-61f5f86544f9,2026-05-07,delivered,2026-05-09,68135.74,10901.72,79037.46,KES
SO-2016,f3e21a56-a02d-0377-5fdf-351a439d3c05,ad7ffc2d-68fd-bdb6-78cd-f10fff39af01,sai-ke,0f9aa6b8-15cc-0d9b-56c3-61f5f86544f9,2026-04-08,delivered,2026-04-10,84349.8,13495.97,97845.77,KES
SO-2017,f3e21a56-a02d-0377-5fdf-351a439d3c05,ad7ffc2d-68fd-bdb6-78cd-f10fff39af01,sai-ke,0f9aa6b8-15cc-0d9b-56c3-61f5f86544f9,2026-03-10,delivered,2026-03-12,108841.03,17414.56,126255.59,KES
SO-2018,f3e21a56-a02d-0377-5fdf-351a439d3c05,ad7ffc2d-68fd-bdb6-78cd-f10fff39af01,sai-ke,0f9aa6b8-15cc-0d9b-56c3-61f5f86544f9,2026-02-09,delivered,2026-02-11,96934.6,15509.54,112444.14,KES
SO-2019,f3e21a56-a02d-0377-5fdf-351a439d3c05,ad7ffc2d-68fd-bdb6-78cd-f10fff39af01,sai-ke,0f9aa6b8-15cc-0d9b-56c3-61f5f86544f9,2026-01-11,delivered,2026-01-13,53665.9,8586.54,62252.44,KES
SO-2020,f3e21a56-a02d-0377-5fdf-351a439d3c05,ad7ffc2d-68fd-bdb6-78cd-f10fff39af01,sai-ke,0f9aa6b8-15cc-0d9b-56c3-61f5f86544f9,2025-12-13,delivered,2025-12-15,71836.28,11493.8,83330.08,KES
SO-2021,f3e21a56-a02d-0377-5fdf-351a439d3c05,ad7ffc2d-68fd-bdb6-78cd-f10fff39af01,sai-ke,0f9aa6b8-15cc-0d9b-56c3-61f5f86544f9,2025-11-14,delivered,2025-11-16,217100.56,34736.09,251836.65,KES
SO-2022,f3e21a56-a02d-0377-5fdf-351a439d3c05,ad7ffc2d-68fd-bdb6-78cd-f10fff39af01,sai-ke,0f9aa6b8-15cc-0d9b-56c3-61f5f86544f9,2025-10-16,delivered,2025-10-18,155979.32,24956.69,180936.01,KES
SO-2023,f3e21a56-a02d-0377-5fdf-351a439d3c05,ad7ffc2d-68fd-bdb6-78cd-f10fff39af01,sai-ke,0f9aa6b8-15cc-0d9b-56c3-61f5f86544f9,2025-09-17,delivered,2025-09-19,124787.49,19966.0,144753.49,KES
SO-2024,f3e21a56-a02d-0377-5fdf-351a439d3c05,ad7ffc2d-68fd-bdb6-78cd-f10fff39af01,sai-ke,0f9aa6b8-15cc-0d9b-56c3-61f5f86544f9,2025-08-19,delivered,2025-08-21,145294.64,23247.14,168541.78,KES
SO-2025,5afbc6bf-d652-a4e7-114a-3a7ab3a44394,37202963-f1f9-4cdf-6f35-3b0780757642,sai-ke,0f9aa6b8-15cc-0d9b-56c3-61f5f86544f9,2026-07-06,delivered,2026-07-08,63287.27,10125.96,73413.23,KES
SO-2026,5afbc6bf-d652-a4e7-114a-3a7ab3a44394,37202963-f1f9-4cdf-6f35-3b0780757642,sai-ke,0f9aa6b8-15cc-0d9b-56c3-61f5f86544f9,2026-06-09,delivered,2026-06-11,137516.94,22002.71,159519.65,KES
SO-2027,5afbc6bf-d652-a4e7-114a-3a7ab3a44394,37202963-f1f9-4cdf-6f35-3b0780757642,sai-ke,0f9aa6b8-15cc-0d9b-56c3-61f5f86544f9,2026-05-13,delivered,2026-05-15,120628.51,19300.56,139929.07,KES
SO-2028,5afbc6bf-d652-a4e7-114a-3a7ab3a44394,37202963-f1f9-4cdf-6f35-3b0780757642,sai-ke,0f9aa6b8-15cc-0d9b-56c3-61f5f86544f9,2026-04-16,delivered,2026-04-18,93947.45,15031.59,108979.04,KES
SO-2029,5afbc6bf-d652-a4e7-114a-3a7ab3a44394,37202963-f1f9-4cdf-6f35-3b0780757642,sai-ke,0f9aa6b8-15cc-0d9b-56c3-61f5f86544f9,2026-03-20,delivered,2026-03-22,52789.58,8446.33,61235.91,KES
SO-2030,5afbc6bf-d652-a4e7-114a-3a7ab3a44394,37202963-f1f9-4cdf-6f35-3b0780757642,sai-ke,0f9aa6b8-15cc-0d9b-56c3-61f5f86544f9,2026-02-21,delivered,2026-02-23,29502.73,4720.44,34223.17,KES
SO-2031,5afbc6bf-d652-a4e7-114a-3a7ab3a44394,37202963-f1f9-4cdf-6f35-3b0780757642,sai-ke,0f9aa6b8-15cc-0d9b-56c3-61f5f86544f9,2026-01-25,delivered,2026-01-27,148024.84,23683.97,171708.81,KES
SO-2032,5afbc6bf-d652-a4e7-114a-3a7ab3a44394,37202963-f1f9-4cdf-6f35-3b0780757642,sai-ke,0f9aa6b8-15cc-0d9b-56c3-61f5f86544f9,2025-12-29,delivered,2025-12-31,103143.54,16502.97,119646.51,KES
SO-2033,5afbc6bf-d652-a4e7-114a-3a7ab3a44394,37202963-f1f9-4cdf-6f35-3b0780757642,sai-ke,0f9aa6b8-15cc-0d9b-56c3-61f5f86544f9,2025-12-02,delivered,2025-12-04,128679.08,20588.65,149267.73,KES
SO-2034,5afbc6bf-d652-a4e7-114a-3a7ab3a44394,37202963-f1f9-4cdf-6f35-3b0780757642,sai-ke,0f9aa6b8-15cc-0d9b-56c3-61f5f86544f9,2025-11-05,delivered,2025-11-07,97302.79,15568.45,112871.24,KES
SO-2035,5afbc6bf-d652-a4e7-114a-3a7ab3a44394,37202963-f1f9-4cdf-6f35-3b0780757642,sai-ke,0f9aa6b8-15cc-0d9b-56c3-61f5f86544f9,2025-10-09,delivered,2025-10-11,113763.12,18202.1,131965.22,KES
SO-2036,5afbc6bf-d652-a4e7-114a-3a7ab3a44394,37202963-f1f9-4cdf-6f35-3b0780757642,sai-ke,0f9aa6b8-15cc-0d9b-56c3-61f5f86544f9,2025-09-12,delivered,2025-09-14,97922.11,15667.54,113589.65,KES
SO-2037,6b562e00-5380-224d-a1cc-e0653a3617e6,fb89c319-c162-13d1-f929-7282409d5b82,sai-tz,ff88541a-8c54-5afd-bec8-f2112874cd5d,2026-07-08,delivered,2026-07-10,42319.49,6771.12,49090.61,TZS
SO-2038,6b562e00-5380-224d-a1cc-e0653a3617e6,fb89c319-c162-13d1-f929-7282409d5b82,sai-tz,ff88541a-8c54-5afd-bec8-f2112874cd5d,2026-06-13,delivered,2026-06-15,57446.35,9191.42,66637.77,TZS
SO-2039,6b562e00-5380-224d-a1cc-e0653a3617e6,fb89c319-c162-13d1-f929-7282409d5b82,sai-tz,ff88541a-8c54-5afd-bec8-f2112874cd5d,2026-05-19,delivered,2026-05-21,75566.01,12090.56,87656.57,TZS
SO-2040,6b562e00-5380-224d-a1cc-e0653a3617e6,fb89c319-c162-13d1-f929-7282409d5b82,sai-tz,ff88541a-8c54-5afd-bec8-f2112874cd5d,2026-04-24,delivered,2026-04-26,61240.53,9798.48,71039.01,TZS
SO-2041,6b562e00-5380-224d-a1cc-e0653a3617e6,fb89c319-c162-13d1-f929-7282409d5b82,sai-tz,ff88541a-8c54-5afd-bec8-f2112874cd5d,2026-03-30,delivered,2026-04-01,106999.9,17119.98,124119.88,TZS
SO-2042,6b562e00-5380-224d-a1cc-e0653a3617e6,fb89c319-c162-13d1-f929-7282409d5b82,sai-tz,ff88541a-8c54-5afd-bec8-f2112874cd5d,2026-03-05,delivered,2026-03-07,53555.85,8568.94,62124.79,TZS
SO-2043,6b562e00-5380-224d-a1cc-e0653a3617e6,fb89c319-c162-13d1-f929-7282409d5b82,sai-tz,ff88541a-8c54-5afd-bec8-f2112874cd5d,2026-02-08,delivered,2026-02-10,72737.32,11637.97,84375.29,TZS
SO-2044,6b562e00-5380-224d-a1cc-e0653a3617e6,fb89c319-c162-13d1-f929-7282409d5b82,sai-tz,ff88541a-8c54-5afd-bec8-f2112874cd5d,2026-01-14,delivered,2026-01-16,9831.29,1573.01,11404.3,TZS
SO-2045,6b562e00-5380-224d-a1cc-e0653a3617e6,fb89c319-c162-13d1-f929-7282409d5b82,sai-tz,ff88541a-8c54-5afd-bec8-f2112874cd5d,2025-12-20,delivered,2025-12-22,96531.0,15444.96,111975.96,TZS
SO-2046,6b562e00-5380-224d-a1cc-e0653a3617e6,fb89c319-c162-13d1-f929-7282409d5b82,sai-tz,ff88541a-8c54-5afd-bec8-f2112874cd5d,2025-11-25,delivered,2025-11-27,119431.51,19109.04,138540.55,TZS
SO-2047,6b562e00-5380-224d-a1cc-e0653a3617e6,fb89c319-c162-13d1-f929-7282409d5b82,sai-tz,ff88541a-8c54-5afd-bec8-f2112874cd5d,2025-10-31,delivered,2025-11-02,77018.72,12323.0,89341.72,TZS
SO-2048,6b562e00-5380-224d-a1cc-e0653a3617e6,fb89c319-c162-13d1-f929-7282409d5b82,sai-tz,ff88541a-8c54-5afd-bec8-f2112874cd5d,2025-10-06,delivered,2025-10-08,15129.85,2420.78,17550.63,TZS
SO-2049,a0c565be-900e-95df-1213-4697fa3dc6a9,f1c29bd3-2b32-3dbd-8353-031a1df0c91b,sai-ke,b39999e9-ac87-cd22-4751-5e4d2d25ae47,2026-07-07,delivered,2026-07-09,75319.27,12051.08,87370.35,KES
SO-2050,a0c565be-900e-95df-1213-4697fa3dc6a9,f1c29bd3-2b32-3dbd-8353-031a1df0c91b,sai-ke,b39999e9-ac87-cd22-4751-5e4d2d25ae47,2026-06-11,delivered,2026-06-13,12023.85,1923.82,13947.67,KES
SO-2051,a0c565be-900e-95df-1213-4697fa3dc6a9,f1c29bd3-2b32-3dbd-8353-031a1df0c91b,sai-ke,b39999e9-ac87-cd22-4751-5e4d2d25ae47,2026-05-16,delivered,2026-05-18,133553.8,21368.61,154922.41,KES
SO-2052,a0c565be-900e-95df-1213-4697fa3dc6a9,f1c29bd3-2b32-3dbd-8353-031a1df0c91b,sai-ke,b39999e9-ac87-cd22-4751-5e4d2d25ae47,2026-04-20,delivered,2026-04-22,69860.87,11177.74,81038.61,KES
SO-2053,a0c565be-900e-95df-1213-4697fa3dc6a9,f1c29bd3-2b32-3dbd-8353-031a1df0c91b,sai-ke,b39999e9-ac87-cd22-4751-5e4d2d25ae47,2026-03-25,delivered,2026-03-27,89741.68,14358.67,104100.35,KES
SO-2054,a0c565be-900e-95df-1213-4697fa3dc6a9,f1c29bd3-2b32-3dbd-8353-031a1df0c91b,sai-ke,b39999e9-ac87-cd22-4751-5e4d2d25ae47,2026-02-27,delivered,2026-03-01,148362.34,23737.97,172100.31,KES
SO-2055,a0c565be-900e-95df-1213-4697fa3dc6a9,f1c29bd3-2b32-3dbd-8353-031a1df0c91b,sai-ke,b39999e9-ac87-cd22-4751-5e4d2d25ae47,2026-02-01,delivered,2026-02-03,29201.81,4672.29,33874.1,KES
SO-2056,a0c565be-900e-95df-1213-4697fa3dc6a9,f1c29bd3-2b32-3dbd-8353-031a1df0c91b,sai-ke,b39999e9-ac87-cd22-4751-5e4d2d25ae47,2026-01-06,delivered,2026-01-08,95586.61,15293.86,110880.47,KES
SO-2057,a0c565be-900e-95df-1213-4697fa3dc6a9,f1c29bd3-2b32-3dbd-8353-031a1df0c91b,sai-ke,b39999e9-ac87-cd22-4751-5e4d2d25ae47,2025-12-11,delivered,2025-12-13,64281.7,10285.07,74566.77,KES
SO-2058,a0c565be-900e-95df-1213-4697fa3dc6a9,f1c29bd3-2b32-3dbd-8353-031a1df0c91b,sai-ke,b39999e9-ac87-cd22-4751-5e4d2d25ae47,2025-11-15,delivered,2025-11-17,28973.18,4635.71,33608.89,KES
SO-2059,a0c565be-900e-95df-1213-4697fa3dc6a9,f1c29bd3-2b32-3dbd-8353-031a1df0c91b,sai-ke,b39999e9-ac87-cd22-4751-5e4d2d25ae47,2025-10-20,delivered,2025-10-22,128917.4,20626.78,149544.18,KES
SO-2060,a0c565be-900e-95df-1213-4697fa3dc6a9,f1c29bd3-2b32-3dbd-8353-031a1df0c91b,sai-ke,b39999e9-ac87-cd22-4751-5e4d2d25ae47,2025-09-24,delivered,2025-09-26,22986.08,3677.77,26663.85,KES
SO-2061,2198fcae-b678-397a-2ebe-15c1c94a5532,6fb426ae-4ab3-75ca-5f82-d3a1794c4f4f,sai-ke,b39999e9-ac87-cd22-4751-5e4d2d25ae47,2026-07-04,delivered,2026-07-06,145943.67,23350.99,169294.66,KES
SO-2062,2198fcae-b678-397a-2ebe-15c1c94a5532,6fb426ae-4ab3-75ca-5f82-d3a1794c4f4f,sai-ke,b39999e9-ac87-cd22-4751-5e4d2d25ae47,2026-06-05,delivered,2026-06-07,64476.78,10316.28,74793.06,KES
SO-2063,2198fcae-b678-397a-2ebe-15c1c94a5532,6fb426ae-4ab3-75ca-5f82-d3a1794c4f4f,sai-ke,b39999e9-ac87-cd22-4751-5e4d2d25ae47,2026-05-07,delivered,2026-05-09,95508.08,15281.29,110789.37,KES
SO-2064,2198fcae-b678-397a-2ebe-15c1c94a5532,6fb426ae-4ab3-75ca-5f82-d3a1794c4f4f,sai-ke,b39999e9-ac87-cd22-4751-5e4d2d25ae47,2026-04-08,delivered,2026-04-10,48531.56,7765.05,56296.61,KES
SO-2065,2198fcae-b678-397a-2ebe-15c1c94a5532,6fb426ae-4ab3-75ca-5f82-d3a1794c4f4f,sai-ke,b39999e9-ac87-cd22-4751-5e4d2d25ae47,2026-03-10,delivered,2026-03-12,100093.44,16014.95,116108.39,KES
SO-2066,2198fcae-b678-397a-2ebe-15c1c94a5532,6fb426ae-4ab3-75ca-5f82-d3a1794c4f4f,sai-ke,b39999e9-ac87-cd22-4751-5e4d2d25ae47,2026-02-09,delivered,2026-02-11,118322.06,18931.53,137253.59,KES
SO-2067,2198fcae-b678-397a-2ebe-15c1c94a5532,6fb426ae-4ab3-75ca-5f82-d3a1794c4f4f,sai-ke,b39999e9-ac87-cd22-4751-5e4d2d25ae47,2026-01-11,delivered,2026-01-13,61498.47,9839.76,71338.23,KES
SO-2068,2198fcae-b678-397a-2ebe-15c1c94a5532,6fb426ae-4ab3-75ca-5f82-d3a1794c4f4f,sai-ke,b39999e9-ac87-cd22-4751-5e4d2d25ae47,2025-12-13,delivered,2025-12-15,123393.98,19743.04,143137.02,KES
SO-2069,2198fcae-b678-397a-2ebe-15c1c94a5532,6fb426ae-4ab3-75ca-5f82-d3a1794c4f4f,sai-ke,b39999e9-ac87-cd22-4751-5e4d2d25ae47,2025-11-14,delivered,2025-11-16,124979.32,19996.69,144976.01,KES
SO-2070,2198fcae-b678-397a-2ebe-15c1c94a5532,6fb426ae-4ab3-75ca-5f82-d3a1794c4f4f,sai-ke,b39999e9-ac87-cd22-4751-5e4d2d25ae47,2025-10-16,delivered,2025-10-18,40720.88,6515.34,47236.22,KES
SO-2071,2198fcae-b678-397a-2ebe-15c1c94a5532,6fb426ae-4ab3-75ca-5f82-d3a1794c4f4f,sai-ke,b39999e9-ac87-cd22-4751-5e4d2d25ae47,2025-09-17,delivered,2025-09-19,108212.51,17314.0,125526.51,KES
SO-2072,2198fcae-b678-397a-2ebe-15c1c94a5532,6fb426ae-4ab3-75ca-5f82-d3a1794c4f4f,sai-ke,b39999e9-ac87-cd22-4751-5e4d2d25ae47,2025-08-19,delivered,2025-08-21,99719.89,15955.18,115675.07,KES
SO-2073,fbadbef4-7a3d-b782-c9c7-a0778d6c0417,dfc2a245-2e43-02c2-089a-64b24b692d5b,sai-ke,bfb69fe8-1548-6f0b-3f13-f26c740f0c1f,2026-07-04,delivered,2026-07-06,133432.32,21349.17,154781.49,KES
SO-2074,fbadbef4-7a3d-b782-c9c7-a0778d6c0417,dfc2a245-2e43-02c2-089a-64b24b692d5b,sai-ke,bfb69fe8-1548-6f0b-3f13-f26c740f0c1f,2026-06-05,delivered,2026-06-07,35549.32,5687.89,41237.21,KES
SO-2075,fbadbef4-7a3d-b782-c9c7-a0778d6c0417,dfc2a245-2e43-02c2-089a-64b24b692d5b,sai-ke,bfb69fe8-1548-6f0b-3f13-f26c740f0c1f,2026-05-07,delivered,2026-05-09,82726.68,13236.27,95962.95,KES
SO-2076,fbadbef4-7a3d-b782-c9c7-a0778d6c0417,dfc2a245-2e43-02c2-089a-64b24b692d5b,sai-ke,bfb69fe8-1548-6f0b-3f13-f26c740f0c1f,2026-04-08,delivered,2026-04-10,73133.02,11701.28,84834.3,KES
SO-2077,fbadbef4-7a3d-b782-c9c7-a0778d6c0417,dfc2a245-2e43-02c2-089a-64b24b692d5b,sai-ke,bfb69fe8-1548-6f0b-3f13-f26c740f0c1f,2026-03-10,delivered,2026-03-12,142293.87,22767.02,165060.89,KES
SO-2078,fbadbef4-7a3d-b782-c9c7-a0778d6c0417,dfc2a245-2e43-02c2-089a-64b24b692d5b,sai-ke,bfb69fe8-1548-6f0b-3f13-f26c740f0c1f,2026-02-09,delivered,2026-02-11,108249.63,17319.94,125569.57,KES
SO-2079,fbadbef4-7a3d-b782-c9c7-a0778d6c0417,dfc2a245-2e43-02c2-089a-64b24b692d5b,sai-ke,bfb69fe8-1548-6f0b-3f13-f26c740f0c1f,2026-01-11,delivered,2026-01-13,68473.99,10955.84,79429.83,KES
SO-2080,fbadbef4-7a3d-b782-c9c7-a0778d6c0417,dfc2a245-2e43-02c2-089a-64b24b692d5b,sai-ke,bfb69fe8-1548-6f0b-3f13-f26c740f0c1f,2025-12-13,delivered,2025-12-15,102714.79,16434.37,119149.16,KES
SO-2081,fbadbef4-7a3d-b782-c9c7-a0778d6c0417,dfc2a245-2e43-02c2-089a-64b24b692d5b,sai-ke,bfb69fe8-1548-6f0b-3f13-f26c740f0c1f,2025-11-14,delivered,2025-11-16,126245.3,20199.25,146444.55,KES
SO-2082,fbadbef4-7a3d-b782-c9c7-a0778d6c0417,dfc2a245-2e43-02c2-089a-64b24b692d5b,sai-ke,bfb69fe8-1548-6f0b-3f13-f26c740f0c1f,2025-10-16,delivered,2025-10-18,63488.4,10158.14,73646.54,KES
SO-2083,fbadbef4-7a3d-b782-c9c7-a0778d6c0417,dfc2a245-2e43-02c2-089a-64b24b692d5b,sai-ke,bfb69fe8-1548-6f0b-3f13-f26c740f0c1f,2025-09-17,delivered,2025-09-19,170493.16,27278.91,197772.07,KES
SO-2084,fbadbef4-7a3d-b782-c9c7-a0778d6c0417,dfc2a245-2e43-02c2-089a-64b24b692d5b,sai-ke,bfb69fe8-1548-6f0b-3f13-f26c740f0c1f,2025-08-19,delivered,2025-08-21,111407.02,17825.12,129232.14,KES
SO-2085,70274f14-b261-bd97-100c-a3de0bddc6c2,055de868-31c4-e16a-f7de-d00178f72b98,sai-ke,4e87eafa-e937-ff84-ae92-fc9068abf480,2026-07-01,delivered,2026-07-03,112762.39,18041.98,130804.37,KES
SO-2086,70274f14-b261-bd97-100c-a3de0bddc6c2,055de868-31c4-e16a-f7de-d00178f72b98,sai-ke,4e87eafa-e937-ff84-ae92-fc9068abf480,2026-05-30,delivered,2026-06-01,122846.63,19655.46,142502.09,KES
SO-2087,70274f14-b261-bd97-100c-a3de0bddc6c2,055de868-31c4-e16a-f7de-d00178f72b98,sai-ke,4e87eafa-e937-ff84-ae92-fc9068abf480,2026-04-28,delivered,2026-04-30,52078.72,8332.6,60411.32,KES
SO-2088,70274f14-b261-bd97-100c-a3de0bddc6c2,055de868-31c4-e16a-f7de-d00178f72b98,sai-ke,4e87eafa-e937-ff84-ae92-fc9068abf480,2026-03-27,delivered,2026-03-29,137146.42,21943.43,159089.85,KES
SO-2089,70274f14-b261-bd97-100c-a3de0bddc6c2,055de868-31c4-e16a-f7de-d00178f72b98,sai-ke,4e87eafa-e937-ff84-ae92-fc9068abf480,2026-02-23,delivered,2026-02-25,112879.89,18060.78,130940.67,KES
SO-2090,70274f14-b261-bd97-100c-a3de0bddc6c2,055de868-31c4-e16a-f7de-d00178f72b98,sai-ke,4e87eafa-e937-ff84-ae92-fc9068abf480,2026-01-22,delivered,2026-01-24,99786.65,15965.86,115752.51,KES
SO-2091,70274f14-b261-bd97-100c-a3de0bddc6c2,055de868-31c4-e16a-f7de-d00178f72b98,sai-ke,4e87eafa-e937-ff84-ae92-fc9068abf480,2025-12-21,delivered,2025-12-23,172610.71,27617.71,200228.42,KES
SO-2092,70274f14-b261-bd97-100c-a3de0bddc6c2,055de868-31c4-e16a-f7de-d00178f72b98,sai-ke,4e87eafa-e937-ff84-ae92-fc9068abf480,2025-11-19,delivered,2025-11-21,80120.82,12819.33,92940.15,KES
SO-2093,70274f14-b261-bd97-100c-a3de0bddc6c2,055de868-31c4-e16a-f7de-d00178f72b98,sai-ke,4e87eafa-e937-ff84-ae92-fc9068abf480,2025-10-18,delivered,2025-10-20,90841.88,14534.7,105376.58,KES
SO-2094,70274f14-b261-bd97-100c-a3de0bddc6c2,055de868-31c4-e16a-f7de-d00178f72b98,sai-ke,4e87eafa-e937-ff84-ae92-fc9068abf480,2025-09-16,delivered,2025-09-18,109880.05,17580.81,127460.86,KES
SO-2095,d1799e4c-d526-50cb-a3ed-18dbd6b1a22f,de5550e6-e029-4c9b-5d94-b2efd3504761,sai-ke,1e401c64-aea5-9092-c7c7-11e1e0c79b36,2026-07-09,delivered,2026-07-11,170158.73,27225.4,197384.13,KES
SO-2096,d1799e4c-d526-50cb-a3ed-18dbd6b1a22f,de5550e6-e029-4c9b-5d94-b2efd3504761,sai-ke,1e401c64-aea5-9092-c7c7-11e1e0c79b36,2026-06-15,delivered,2026-06-17,13605.57,2176.89,15782.46,KES
SO-2097,d1799e4c-d526-50cb-a3ed-18dbd6b1a22f,de5550e6-e029-4c9b-5d94-b2efd3504761,sai-ke,1e401c64-aea5-9092-c7c7-11e1e0c79b36,2026-05-22,delivered,2026-05-24,26824.43,4291.91,31116.34,KES
SO-2098,d1799e4c-d526-50cb-a3ed-18dbd6b1a22f,de5550e6-e029-4c9b-5d94-b2efd3504761,sai-ke,1e401c64-aea5-9092-c7c7-11e1e0c79b36,2026-04-28,delivered,2026-04-30,39713.47,6354.16,46067.63,KES
SO-2099,d1799e4c-d526-50cb-a3ed-18dbd6b1a22f,de5550e6-e029-4c9b-5d94-b2efd3504761,sai-ke,1e401c64-aea5-9092-c7c7-11e1e0c79b36,2026-04-04,delivered,2026-04-06,76845.93,12295.35,89141.28,KES
SO-2100,d1799e4c-d526-50cb-a3ed-18dbd6b1a22f,de5550e6-e029-4c9b-5d94-b2efd3504761,sai-ke,1e401c64-aea5-9092-c7c7-11e1e0c79b36,2026-03-11,delivered,2026-03-13,54681.23,8749.0,63430.23,KES
SO-2101,d1799e4c-d526-50cb-a3ed-18dbd6b1a22f,de5550e6-e029-4c9b-5d94-b2efd3504761,sai-ke,1e401c64-aea5-9092-c7c7-11e1e0c79b36,2026-02-15,delivered,2026-02-17,48004.78,7680.76,55685.54,KES
SO-2102,d1799e4c-d526-50cb-a3ed-18dbd6b1a22f,de5550e6-e029-4c9b-5d94-b2efd3504761,sai-ke,1e401c64-aea5-9092-c7c7-11e1e0c79b36,2026-01-22,delivered,2026-01-24,10867.06,1738.73,12605.79,KES
SO-2103,d1799e4c-d526-50cb-a3ed-18dbd6b1a22f,de5550e6-e029-4c9b-5d94-b2efd3504761,sai-ke,1e401c64-aea5-9092-c7c7-11e1e0c79b36,2025-12-29,delivered,2025-12-31,119264.58,19082.33,138346.91,KES
SO-2104,d1799e4c-d526-50cb-a3ed-18dbd6b1a22f,de5550e6-e029-4c9b-5d94-b2efd3504761,sai-ke,1e401c64-aea5-9092-c7c7-11e1e0c79b36,2025-12-05,delivered,2025-12-07,67195.52,10751.28,77946.8,KES
SO-2105,d1799e4c-d526-50cb-a3ed-18dbd6b1a22f,de5550e6-e029-4c9b-5d94-b2efd3504761,sai-ke,1e401c64-aea5-9092-c7c7-11e1e0c79b36,2025-11-11,delivered,2025-11-13,100480.78,16076.92,116557.7,KES
