machine_id,lease_id,asset_tag,model,location,current_meter_reading
076efa59-2d6b-e95f-2134-cea7c534ecc3,656079bb-dc30-0a2f-b5ba-3c56d47130e7,OT-48863,Canon imageRUNNER 2630i,Registry,89465
59ba7bef-4093-f399-f8ac-6f16f14db836,172c557a-410e-ed4f-bcab-da0da4040c1b,OT-85265,HP LaserJet Managed E82560,Finance,62966
9b666398-3d69-c3c9-0bd9-9d019daf6b48,f83f72b3-94ff-f838-09a5-acbed5a5d74c,OT-63542,Canon imageRUNNER 2630i,Registry,67684
24b06c07-743a-5ab4-c064-68cee74f4882,f83f72b3-94ff-f838-09a5-acbed5a5d74c,OT-37711,Epson WorkForce Pro WF-C879R,Finance,60649
691f786c-036e-f447-38ed-756394b2ff9a,f83f72b3-94ff-f838-09a5-acbed5a5d74c,OT-82876,Canon imageRUNNER 2630i,3rd Floor,43507
56810efe-fad1-588d-e4c9-db64f92655a4,78a8b9a4-6bfb-78c2-4605-262a0a54aabb,OT-10574,HP LaserJet Managed E82560,Registry,36270
636476d6-71a0-d170-cd09-76913d7c2140,78a8b9a4-6bfb-78c2-4605-262a0a54aabb,OT-82372,Epson WorkForce Pro WF-C879R,3rd Floor,15720
286767be-9ba7-8ef7-832d-5d33cdea359a,78a8b9a4-6bfb-78c2-4605-262a0a54aabb,OT-69676,Epson WorkForce Pro WF-C879R,3rd Floor,40621
2530290e-f98e-383e-62ae-267b27ae8e8e,0385e06c-7891-bd76-e3a0-cc7d3f8a3f22,OT-60276,Epson WorkForce Pro WF-C879R,Reception,52441
3743ece5-928c-703c-2fa2-f9c9026144de,5788f8ea-3b1e-a0cd-d85a-37fffea7ea39,OT-64633,Canon imageRUNNER 2630i,Reception,44198
d9c36027-5265-5028-9254-ac72e832215d,5788f8ea-3b1e-a0cd-d85a-37fffea7ea39,OT-23330,HP LaserJet Managed E82560,3rd Floor,28848
c6802bfb-e9ef-58fe-69b4-f958869d02ec,5788f8ea-3b1e-a0cd-d85a-37fffea7ea39,OT-91705,HP LaserJet Managed E82560,Registry,86487
924bace8-6cfb-8163-03e6-9625792fd15a,bfc64bf7-d311-acbe-ac99-84c7ae141792,OT-23576,HP LaserJet Managed E82560,Finance,40119
1a72d498-c840-a443-4d0b-1f834039b419,bfc64bf7-d311-acbe-ac99-84c7ae141792,OT-28382,HP LaserJet Managed E82560,3rd Floor,19832
acf1a75a-6216-293c-7670-c8ee4f5f9fdb,bfc64bf7-d311-acbe-ac99-84c7ae141792,OT-98845,Epson WorkForce Pro WF-C879R,3rd Floor,52991
8bf558cc-7f3e-d19d-d24e-1f133ea86b0d,3d3b02cb-6bac-17b0-112a-c41fc60b7357,OT-79295,HP LaserJet Managed E82560,Registry,67848
3f2007fb-7412-1cc0-e8ab-d33977d0cea9,3d3b02cb-6bac-17b0-112a-c41fc60b7357,OT-18310,HP LaserJet Managed E82560,3rd Floor,18087
bf7e5e8d-58dc-ba1b-b1bc-01e5328d2a80,3d3b02cb-6bac-17b0-112a-c41fc60b7357,OT-40359,Canon imageRUNNER 2630i,Registry,5867
b6b4fd02-35f3-8e21-cbd6-a0d0feaf25a6,7b1925ea-f3f1-c077-70d4-d7e6e86c75b8,OT-95708,Epson WorkForce Pro WF-C879R,Reception,44193
1880ad88-b581-1b6b-46ba-be1854bc1614,7b1925ea-f3f1-c077-70d4-d7e6e86c75b8,OT-12756,Epson WorkForce Pro WF-C879R,Finance,29928
3efc6a09-395f-0f0e-fa8c-ee5cfb93d85f,7b1925ea-f3f1-c077-70d4-d7e6e86c75b8,OT-23771,Epson WorkForce Pro WF-C879R,Registry,68251
ac2a5a80-a549-4dd3-c732-d70e07448236,10b3ef78-82d9-e001-5870-796b78557ee6,OT-68136,Canon imageRUNNER 2630i,3rd Floor,26542
dc2f1233-6e0d-4011-5ca2-ba882ae08d23,10b3ef78-82d9-e001-5870-796b78557ee6,OT-26988,HP LaserJet Managed E82560,Finance,65956
