invoice_id,order_id,account_id,tenant_id,invoice_date,due_date,amount,amount_paid,status
INV-2023,SO-2023,f3e21a56-a02d-0377-5fdf-351a439d3c05,sai-ke,2025-09-17,2025-10-17,144753.49,144753.49,paid
INV-2024,SO-2024,f3e21a56-a02d-0377-5fdf-351a439d3c05,sai-ke,2025-08-19,2025-09-18,168541.78,168541.78,paid
INV-2025,SO-2025,5afbc6bf-d652-a4e7-114a-3a7ab3a44394,sai-ke,2026-07-06,2026-08-05,73413.23,73413.23,paid
INV-2026,SO-2026,5afbc6bf-d652-a4e7-114a-3a7ab3a44394,sai-ke,2026-06-09,2026-07-09,159519.65,159519.65,paid
INV-2027,SO-2027,5afbc6bf-d652-a4e7-114a-3a7ab3a44394,sai-ke,2026-05-13,2026-06-12,139929.07,139929.07,paid
INV-2028,SO-2028,5afbc6bf-d652-a4e7-114a-3a7ab3a44394,sai-ke,2026-04-16,2026-05-16,108979.04,108979.04,paid
INV-2029,SO-2029,5afbc6bf-d652-a4e7-114a-3a7ab3a44394,sai-ke,2026-03-20,2026-04-19,61235.91,61235.91,paid
INV-2030,SO-2030,5afbc6bf-d652-a4e7-114a-3a7ab3a44394,sai-ke,2026-02-21,2026-03-23,34223.17,34223.17,paid
INV-2031,SO-2031,5afbc6bf-d652-a4e7-114a-3a7ab3a44394,sai-ke,2026-01-25,2026-02-24,171708.81,171708.81,paid
INV-2032,SO-2032,5afbc6bf-d652-a4e7-114a-3a7ab3a44394,sai-ke,2025-12-29,2026-01-28,119646.51,119646.51,paid
INV-2033,SO-2033,5afbc6bf-d652-a4e7-114a-3a7ab3a44394,sai-ke,2025-12-02,2026-01-01,149267.73,149267.73,paid
INV-2034,SO-2034,5afbc6bf-d652-a4e7-114a-3a7ab3a44394,sai-ke,2025-11-05,2025-12-05,112871.24,112871.24,paid
INV-2035,SO-2035,5afbc6bf-d652-a4e7-114a-3a7ab3a44394,sai-ke,2025-10-09,2025-11-08,131965.22,131965.22,paid
INV-2036,SO-2036,5afbc6bf-d652-a4e7-114a-3a7ab3a44394,sai-ke,2025-09-12,2025-10-12,113589.65,113589.65,paid
INV-2037,SO-2037,6b562e00-5380-224d-a1cc-e0653a3617e6,sai-tz,2026-07-08,2026-08-07,49090.61,0,outstanding
INV-2038,SO-2038,6b562e00-5380-224d-a1cc-e0653a3617e6,sai-tz,2026-06-13,2026-07-13,66637.77,66637.77,paid
INV-2039,SO-2039,6b562e00-5380-224d-a1cc-e0653a3617e6,sai-tz,2026-05-19,2026-06-18,87656.57,87656.57,paid
INV-2040,SO-2040,6b562e00-5380-224d-a1cc-e0653a3617e6,sai-tz,2026-04-24,2026-05-24,71039.01,71039.01,paid
INV-2041,SO-2041,6b562e00-5380-224d-a1cc-e0653a3617e6,sai-tz,2026-03-30,2026-04-29,124119.88,124119.88,paid
INV-2042,SO-2042,6b562e00-5380-224d-a1cc-e0653a3617e6,sai-tz,2026-03-05,2026-04-04,62124.79,62124.79,paid
INV-2043,SO-2043,6b562e00-5380-224d-a1cc-e0653a3617e6,sai-tz,2026-02-08,2026-03-10,84375.29,84375.29,paid
INV-2044,SO-2044,6b562e00-5380-224d-a1cc-e0653a3617e6,sai-tz,2026-01-14,2026-02-13,11404.3,11404.3,paid
INV-2045,SO-2045,6b562e00-5380-224d-a1cc-e0653a3617e6,sai-tz,2025-12-20,2026-01-19,111975.96,111975.96,paid
INV-2046,SO-2046,6b562e00-5380-224d-a1cc-e0653a3617e6,sai-tz,2025-11-25,2025-12-25,138540.55,138540.55,paid
INV-2047,SO-2047,6b562e00-5380-224d-a1cc-e0653a3617e6,sai-tz,2025-10-31,2025-11-30,89341.72,89341.72,paid
INV-2048,SO-2048,6b562e00-5380-224d-a1cc-e0653a3617e6,sai-tz,2025-10-06,2025-11-05,17550.63,17550.63,paid
INV-2049,SO-2049,a0c565be-900e-95df-1213-4697fa3dc6a9,sai-ke,2026-07-07,2026-08-06,87370.35,0,outstanding
INV-2050,SO-2050,a0c565be-900e-95df-1213-4697fa3dc6a9,sai-ke,2026-06-11,2026-07-11,13947.67,13947.67,paid
INV-2051,SO-2051,a0c565be-900e-95df-1213-4697fa3dc6a9,sai-ke,2026-05-16,2026-06-15,154922.41,154922.41,paid
INV-2052,SO-2052,a0c565be-900e-95df-1213-4697fa3dc6a9,sai-ke,2026-04-20,2026-05-20,81038.61,81038.61,paid
INV-2053,SO-2053,a0c565be-900e-95df-1213-4697fa3dc6a9,sai-ke,2026-03-25,2026-04-24,104100.35,104100.35,paid
INV-2054,SO-2054,a0c565be-900e-95df-1213-4697fa3dc6a9,sai-ke,2026-02-27,2026-03-29,172100.31,172100.31,paid
INV-2055,SO-2055,a0c565be-900e-95df-1213-4697fa3dc6a9,sai-ke,2026-02-01,2026-03-03,33874.1,33874.1,paid
INV-2056,SO-2056,a0c565be-900e-95df-1213-4697fa3dc6a9,sai-ke,2026-01-06,2026-02-05,110880.47,110880.47,paid
INV-2057,SO-2057,a0c565be-900e-95df-1213-4697fa3dc6a9,sai-ke,2025-12-11,2026-01-10,74566.77,74566.77,paid
INV-2058,SO-2058,a0c565be-900e-95df-1213-4697fa3dc6a9,sai-ke,2025-11-15,2025-12-15,33608.89,33608.89,paid
INV-2059,SO-2059,a0c565be-900e-95df-1213-4697fa3dc6a9,sai-ke,2025-10-20,2025-11-19,149544.18,149544.18,paid
INV-2060,SO-2060,a0c565be-900e-95df-1213-4697fa3dc6a9,sai-ke,2025-09-24,2025-10-24,26663.85,26663.85,paid
INV-2061,SO-2061,2198fcae-b678-397a-2ebe-15c1c94a5532,sai-ke,2026-07-04,2026-08-03,169294.66,169294.66,paid
INV-2062,SO-2062,2198fcae-b678-397a-2ebe-15c1c94a5532,sai-ke,2026-06-05,2026-07-05,74793.06,74793.06,paid
INV-2063,SO-2063,2198fcae-b678-397a-2ebe-15c1c94a5532,sai-ke,2026-05-07,2026-06-06,110789.37,110789.37,paid
INV-2064,SO-2064,2198fcae-b678-397a-2ebe-15c1c94a5532,sai-ke,2026-04-08,2026-05-08,56296.61,56296.61,paid
INV-2065,SO-2065,2198fcae-b678-397a-2ebe-15c1c94a5532,sai-ke,2026-03-10,2026-04-09,116108.39,116108.39,paid
INV-2066,SO-2066,2198fcae-b678-397a-2ebe-15c1c94a5532,sai-ke,2026-02-09,2026-03-11,137253.59,137253.59,paid
INV-2067,SO-2067,2198fcae-b678-397a-2ebe-15c1c94a5532,sai-ke,2026-01-11,2026-02-10,71338.23,71338.23,paid
INV-2068,SO-2068,2198fcae-b678-397a-2ebe-15c1c94a5532,sai-ke,2025-12-13,2026-01-12,143137.02,143137.02,paid
INV-2069,SO-2069,2198fcae-b678-397a-2ebe-15c1c94a5532,sai-ke,2025-11-14,2025-12-14,144976.01,144976.01,paid
INV-2070,SO-2070,2198fcae-b678-397a-2ebe-15c1c94a5532,sai-ke,2025-10-16,2025-11-15,47236.22,47236.22,paid
INV-2071,SO-2071,2198fcae-b678-397a-2ebe-15c1c94a5532,sai-ke,2025-09-17,2025-10-17,125526.51,125526.51,paid
INV-2072,SO-2072,2198fcae-b678-397a-2ebe-15c1c94a5532,sai-ke,2025-08-19,2025-09-18,115675.07,115675.07,paid
INV-2073,SO-2073,fbadbef4-7a3d-b782-c9c7-a0778d6c0417,sai-ke,2026-07-04,2026-08-03,154781.49,154781.49,paid
INV-2074,SO-2074,fbadbef4-7a3d-b782-c9c7-a0778d6c0417,sai-ke,2026-06-05,2026-07-05,41237.21,41237.21,paid
INV-2075,SO-2075,fbadbef4-7a3d-b782-c9c7-a0778d6c0417,sai-ke,2026-05-07,2026-06-06,95962.95,95962.95,paid
INV-2076,SO-2076,fbadbef4-7a3d-b782-c9c7-a0778d6c0417,sai-ke,2026-04-08,2026-05-08,84834.3,84834.3,paid
INV-2077,SO-2077,fbadbef4-7a3d-b782-c9c7-a0778d6c0417,sai-ke,2026-03-10,2026-04-09,165060.89,165060.89,paid
INV-2078,SO-2078,fbadbef4-7a3d-b782-c9c7-a0778d6c0417,sai-ke,2026-02-09,2026-03-11,125569.57,125569.57,paid
INV-2079,SO-2079,fbadbef4-7a3d-b782-c9c7-a0778d6c0417,sai-ke,2026-01-11,2026-02-10,79429.83,79429.83,paid
INV-2080,SO-2080,fbadbef4-7a3d-b782-c9c7-a0778d6c0417,sai-ke,2025-12-13,2026-01-12,119149.16,119149.16,paid
INV-2081,SO-2081,fbadbef4-7a3d-b782-c9c7-a0778d6c0417,sai-ke,2025-11-14,2025-12-14,146444.55,146444.55,paid
INV-2082,SO-2082,fbadbef4-7a3d-b782-c9c7-a0778d6c0417,sai-ke,2025-10-16,2025-11-15,73646.54,73646.54,paid
INV-2083,SO-2083,fbadbef4-7a3d-b782-c9c7-a0778d6c0417,sai-ke,2025-09-17,2025-10-17,197772.07,197772.07,paid
INV-2084,SO-2084,fbadbef4-7a3d-b782-c9c7-a0778d6c0417,sai-ke,2025-08-19,2025-09-18,129232.14,129232.14,paid
INV-2085,SO-2085,70274f14-b261-bd97-100c-a3de0bddc6c2,sai-ke,2026-07-01,2026-07-31,130804.37,130804.37,paid
INV-2086,SO-2086,70274f14-b261-bd97-100c-a3de0bddc6c2,sai-ke,2026-05-30,2026-06-29,142502.09,142502.09,paid
INV-2087,SO-2087,70274f14-b261-bd97-100c-a3de0bddc6c2,sai-ke,2026-04-28,2026-05-28,60411.32,60411.32,paid
INV-2088,SO-2088,70274f14-b261-bd97-100c-a3de0bddc6c2,sai-ke,2026-03-27,2026-04-26,159089.85,159089.85,paid
INV-2089,SO-2089,70274f14-b261-bd97-100c-a3de0bddc6c2,sai-ke,2026-02-23,2026-03-25,130940.67,130940.67,paid
INV-2090,SO-2090,70274f14-b261-bd97-100c-a3de0bddc6c2,sai-ke,2026-01-22,2026-02-21,115752.51,115752.51,paid
INV-2091,SO-2091,70274f14-b261-bd97-100c-a3de0bddc6c2,sai-ke,2025-12-21,2026-01-20,200228.42,200228.42,paid
INV-2092,SO-2092,70274f14-b261-bd97-100c-a3de0bddc6c2,sai-ke,2025-11-19,2025-12-19,92940.15,92940.15,paid
INV-2093,SO-2093,70274f14-b261-bd97-100c-a3de0bddc6c2,sai-ke,2025-10-18,2025-11-17,105376.58,105376.58,paid
INV-2094,SO-2094,70274f14-b261-bd97-100c-a3de0bddc6c2,sai-ke,2025-09-16,2025-10-16,127460.86,127460.86,paid
INV-2095,SO-2095,d1799e4c-d526-50cb-a3ed-18dbd6b1a22f,sai-ke,2026-07-09,2026-08-08,197384.13,0,outstanding
INV-2096,SO-2096,d1799e4c-d526-50cb-a3ed-18dbd6b1a22f,sai-ke,2026-06-15,2026-07-15,15782.46,15782.46,paid
INV-2097,SO-2097,d1799e4c-d526-50cb-a3ed-18dbd6b1a22f,sai-ke,2026-05-22,2026-06-21,31116.34,31116.34,paid
INV-2098,SO-2098,d1799e4c-d526-50cb-a3ed-18dbd6b1a22f,sai-ke,2026-04-28,2026-05-28,46067.63,46067.63,paid
INV-2099,SO-2099,d1799e4c-d526-50cb-a3ed-18dbd6b1a22f,sai-ke,2026-04-04,2026-05-04,89141.28,89141.28,paid
INV-2100,SO-2100,d1799e4c-d526-50cb-a3ed-18dbd6b1a22f,sai-ke,2026-03-11,2026-04-10,63430.23,63430.23,paid
INV-2101,SO-2101,d1799e4c-d526-50cb-a3ed-18dbd6b1a22f,sai-ke,2026-02-15,2026-03-17,55685.54,55685.54,paid
INV-2102,SO-2102,d1799e4c-d526-50cb-a3ed-18dbd6b1a22f,sai-ke,2026-01-22,2026-02-21,12605.79,12605.79,paid
INV-2103,SO-2103,d1799e4c-d526-50cb-a3ed-18dbd6b1a22f,sai-ke,2025-12-29,2026-01-28,138346.91,138346.91,paid
INV-2104,SO-2104,d1799e4c-d526-50cb-a3ed-18dbd6b1a22f,sai-ke,2025-12-05,2026-01-04,77946.8,77946.8,paid
INV-2105,SO-2105,d1799e4c-d526-50cb-a3ed-18dbd6b1a22f,sai-ke,2025-11-11,2025-12-11,116557.7,116557.7,paid
INV-2106,SO-2106,d1799e4c-d526-50cb-a3ed-18dbd6b1a22f,sai-ke,2025-10-18,2025-11-17,66922.66,66922.66,paid
INV-2107,SO-2107,a9d0b8b9-076f-71ce-2bc7-1816d9834567,sai-tz,2026-07-25,2026-08-24,49011.3,0,outstanding
INV-2108,SO-2108,a9d0b8b9-076f-71ce-2bc7-1816d9834567,sai-tz,2026-06-26,2026-07-26,70348.52,70348.52,paid
INV-2109,SO-2109,a9d0b8b9-076f-71ce-2bc7-1816d9834567,sai-tz,2026-05-28,2026-06-27,82857.76,82857.76,paid
INV-2110,SO-2110,a9d0b8b9-076f-71ce-2bc7-1816d9834567,sai-tz,2026-04-29,2026-05-29,110027.95,110027.95,paid
INV-2111,SO-2111,a9d0b8b9-076f-71ce-2bc7-1816d9834567,sai-tz,2026-03-31,2026-04-30,90482.56,90482.56,paid
INV-2112,SO-2112,a9d0b8b9-076f-71ce-2bc7-1816d9834567,sai-tz,2026-03-02,2026-04-01,147521.09,147521.09,paid
INV-2113,SO-2113,a9d0b8b9-076f-71ce-2bc7-1816d9834567,sai-tz,2026-02-01,2026-03-03,25912.94,25912.94,paid
INV-2114,SO-2114,a9d0b8b9-076f-71ce-2bc7-1816d9834567,sai-tz,2026-01-03,2026-02-02,16833.17,16833.17,paid
INV-2115,SO-2115,a9d0b8b9-076f-71ce-2bc7-1816d9834567,sai-tz,2025-12-05,2026-01-04,89885.71,89885.71,paid
INV-2116,SO-2116,a9d0b8b9-076f-71ce-2bc7-1816d9834567,sai-tz,2025-11-06,2025-12-06,122071.86,122071.86,paid
INV-2117,SO-2117,a9d0b8b9-076f-71ce-2bc7-1816d9834567,sai-tz,2025-10-08,2025-11-07,28509.32,28509.32,paid
INV-2118,SO-2118,a9d0b8b9-076f-71ce-2bc7-1816d9834567,sai-tz,2025-09-09,2025-10-09,203089.74,203089.74,paid
INV-2119,SO-2119,94fe56f4-73dc-9f8d-0db4-a784e97fedc4,sai-ke,2026-08-10,2026-09-09,74995.06,0,outstanding
INV-2120,SO-2120,94fe56f4-73dc-9f8d-0db4-a784e97fedc4,sai-ke,2026-07-16,2026-08-15,85532.67,0,outstanding
INV-2121,SO-2121,94fe56f4-73dc-9f8d-0db4-a784e97fedc4,sai-ke,2026-06-21,2026-07-21,52171.53,52171.53,paid
INV-2122,SO-2122,94fe56f4-73dc-9f8d-0db4-a784e97fedc4,sai-ke,2026-05-27,2026-06-26,161772.02,161772.02,paid
INV-2123,SO-2123,94fe56f4-73dc-9f8d-0db4-a784e97fedc4,sai-ke,2026-05-02,2026-06-01,63432.19,63432.19,paid
INV-2124,SO-2124,94fe56f4-73dc-9f8d-0db4-a784e97fedc4,sai-ke,2026-04-07,2026-05-07,144009.27,144009.27,paid
INV-2125,SO-2125,94fe56f4-73dc-9f8d-0db4-a784e97fedc4,sai-ke,2026-03-13,2026-04-12,117933.48,117933.48,paid
INV-2126,SO-2126,94fe56f4-73dc-9f8d-0db4-a784e97fedc4,sai-ke,2026-02-16,2026-03-18,75504.64,75504.64,paid
INV-2127,SO-2127,94fe56f4-73dc-9f8d-0db4-a784e97fedc4,sai-ke,2026-01-22,2026-02-21,140066.04,140066.04,paid
INV-2128,SO-2128,94fe56f4-73dc-9f8d-0db4-a784e97fedc4,sai-ke,2025-12-28,2026-01-27,180137.12,180137.12,paid
INV-2129,SO-2129,94fe56f4-73dc-9f8d-0db4-a784e97fedc4,sai-ke,2025-12-03,2026-01-02,22164.41,22164.41,paid
INV-2130,SO-2130,94fe56f4-73dc-9f8d-0db4-a784e97fedc4,sai-ke,2025-11-08,2025-12-08,172198.71,172198.71,paid
INV-2131,SO-2131,c331d694-9eab-fac3-010e-df895fb6c6c3,sai-ke,2026-08-07,2026-09-06,114080.58,0,outstanding
INV-2132,SO-2132,c331d694-9eab-fac3-010e-df895fb6c6c3,sai-ke,2026-07-06,2026-08-05,109726.86,109726.86,paid
INV-2133,SO-2133,c331d694-9eab-fac3-010e-df895fb6c6c3,sai-ke,2026-06-04,2026-07-04,156815.92,156815.92,paid
INV-2134,SO-2134,c331d694-9eab-fac3-010e-df895fb6c6c3,sai-ke,2026-05-03,2026-06-02,135823.21,135823.21,paid
INV-2135,SO-2135,c331d694-9eab-fac3-010e-df895fb6c6c3,sai-ke,2026-04-01,2026-05-01,111347.62,111347.62,paid
INV-2136,SO-2136,c331d694-9eab-fac3-010e-df895fb6c6c3,sai-ke,2026-02-28,2026-03-30,124801.02,124801.02,paid
INV-2137,SO-2137,c331d694-9eab-fac3-010e-df895fb6c6c3,sai-ke,2026-01-27,2026-02-26,15644.95,15644.95,paid
INV-2138,SO-2138,c331d694-9eab-fac3-010e-df895fb6c6c3,sai-ke,2025-12-26,2026-01-25,29531.76,29531.76,paid
INV-2139,SO-2139,c331d694-9eab-fac3-010e-df895fb6c6c3,sai-ke,2025-11-24,2025-12-24,95744.34,95744.34,paid
INV-2140,SO-2140,c331d694-9eab-fac3-010e-df895fb6c6c3,sai-ke,2025-10-23,2025-11-22,61521.48,61521.48,paid
INV-2141,SO-2141,c331d694-9eab-fac3-010e-df895fb6c6c3,sai-ke,2025-09-21,2025-10-21,54229.49,54229.49,paid
INV-2142,SO-2142,c331d694-9eab-fac3-010e-df895fb6c6c3,sai-ke,2025-08-20,2025-09-19,109318.59,109318.59,paid
INV-2143,SO-2143,07ea7ec8-6b78-953f-0b66-ad7cd3b3ba4d,sai-ke,2026-08-01,2026-08-31,138143.27,0,outstanding
INV-2144,SO-2144,07ea7ec8-6b78-953f-0b66-ad7cd3b3ba4d,sai-ke,2026-07-03,2026-08-02,133382.48,133382.48,paid
INV-2145,SO-2145,07ea7ec8-6b78-953f-0b66-ad7cd3b3ba4d,sai-ke,2026-06-04,2026-07-04,92126.49,92126.49,paid
INV-2146,SO-2146,07ea7ec8-6b78-953f-0b66-ad7cd3b3ba4d,sai-ke,2026-05-06,2026-06-05,74297.76,74297.76,paid
INV-2147,SO-2147,07ea7ec8-6b78-953f-0b66-ad7cd3b3ba4d,sai-ke,2026-04-07,2026-05-07,150128.63,150128.63,paid
INV-2148,SO-2148,07ea7ec8-6b78-953f-0b66-ad7cd3b3ba4d,sai-ke,2026-03-09,2026-04-08,30217.25,30217.25,paid
INV-2149,SO-2149,07ea7ec8-6b78-953f-0b66-ad7cd3b3ba4d,sai-ke,2026-02-08,2026-03-10,83383.56,83383.56,paid
INV-2150,SO-2150,07ea7ec8-6b78-953f-0b66-ad7cd3b3ba4d,sai-ke,2026-01-10,2026-02-09,69576.5,69576.5,paid
INV-2151,SO-2151,07ea7ec8-6b78-953f-0b66-ad7cd3b3ba4d,sai-ke,2025-12-12,2026-01-11,71620.2,71620.2,paid
INV-2152,SO-2152,07ea7ec8-6b78-953f-0b66-ad7cd3b3ba4d,sai-ke,2025-11-13,2025-12-13,120404.09,120404.09,paid
INV-2153,SO-2153,07ea7ec8-6b78-953f-0b66-ad7cd3b3ba4d,sai-ke,2025-10-15,2025-11-14,92584.18,92584.18,paid
INV-2154,SO-2154,07ea7ec8-6b78-953f-0b66-ad7cd3b3ba4d,sai-ke,2025-09-16,2025-10-16,90198.82,90198.82,paid
INV-2155,SO-2155,767c0c6f-9fe5-eed6-6962-a4952889f486,sai-ke,2026-08-01,2026-08-31,155294.03,0,outstanding
INV-2156,SO-2156,767c0c6f-9fe5-eed6-6962-a4952889f486,sai-ke,2026-07-06,2026-08-05,81597.28,81597.28,paid
INV-2157,SO-2157,767c0c6f-9fe5-eed6-6962-a4952889f486,sai-ke,2026-06-10,2026-07-10,211821.71,211821.71,paid
INV-2158,SO-2158,767c0c6f-9fe5-eed6-6962-a4952889f486,sai-ke,2026-05-15,2026-06-14,53688.6,53688.6,paid
INV-2159,SO-2159,767c0c6f-9fe5-eed6-6962-a4952889f486,sai-ke,2026-04-19,2026-05-19,61126.78,61126.78,paid
INV-2160,SO-2160,767c0c6f-9fe5-eed6-6962-a4952889f486,sai-ke,2026-03-24,2026-04-23,173506.84,173506.84,paid
INV-2161,SO-2161,767c0c6f-9fe5-eed6-6962-a4952889f486,sai-ke,2026-02-26,2026-03-28,56205.64,56205.64,paid
INV-2162,SO-2162,767c0c6f-9fe5-eed6-6962-a4952889f486,sai-ke,2026-01-31,2026-03-02,94119.29,94119.29,paid
INV-2163,SO-2163,767c0c6f-9fe5-eed6-6962-a4952889f486,sai-ke,2026-01-05,2026-02-04,108204.85,108204.85,paid
INV-2164,SO-2164,767c0c6f-9fe5-eed6-6962-a4952889f486,sai-ke,2025-12-10,2026-01-09,82384.71,82384.71,paid
INV-2165,SO-2165,767c0c6f-9fe5-eed6-6962-a4952889f486,sai-ke,2025-11-14,2025-12-14,107871.51,107871.51,paid
INV-2166,SO-2166,767c0c6f-9fe5-eed6-6962-a4952889f486,sai-ke,2025-10-19,2025-11-18,51604.06,51604.06,paid
INV-2167,SO-2167,2d88b186-a85b-af34-53ba-732eee247387,sai-ke,2026-08-07,2026-09-06,110988.19,0,outstanding
INV-2168,SO-2168,2d88b186-a85b-af34-53ba-732eee247387,sai-ke,2026-07-07,2026-08-06,62190.71,0,outstanding
INV-2169,SO-2169,2d88b186-a85b-af34-53ba-732eee247387,sai-ke,2026-06-06,2026-07-06,118682.92,118682.92,paid
INV-2170,SO-2170,2d88b186-a85b-af34-53ba-732eee247387,sai-ke,2026-05-06,2026-06-05,43915.7,43915.7,paid
INV-2171,SO-2171,2d88b186-a85b-af34-53ba-732eee247387,sai-ke,2026-04-05,2026-05-05,95776.75,95776.75,paid
INV-2172,SO-2172,2d88b186-a85b-af34-53ba-732eee247387,sai-ke,2026-03-05,2026-04-04,56060.89,56060.89,paid
INV-2173,SO-2173,2d88b186-a85b-af34-53ba-732eee247387,sai-ke,2026-02-02,2026-03-04,50889.01,50889.01,paid
INV-2174,SO-2174,2d88b186-a85b-af34-53ba-732eee247387,sai-ke,2026-01-02,2026-02-01,78233.62,78233.62,paid
INV-2175,SO-2175,2d88b186-a85b-af34-53ba-732eee247387,sai-ke,2025-12-02,2026-01-01,19901.49,19901.49,paid
INV-2176,SO-2176,2d88b186-a85b-af34-53ba-732eee247387,sai-ke,2025-11-01,2025-12-01,85822.24,85822.24,paid
INV-2177,SO-2177,2d88b186-a85b-af34-53ba-732eee247387,sai-ke,2025-10-01,2025-10-31,140448.98,140448.98,paid
INV-2178,SO-2178,2d88b186-a85b-af34-53ba-732eee247387,sai-ke,2025-08-31,2025-09-30,70791.51,70791.51,paid
INV-2179,SO-2179,04c823b4-adac-2af1-e7ad-31e0930ab83a,sai-ke,2026-07-22,2026-08-21,111698.89,0,outstanding
INV-2180,SO-2180,04c823b4-adac-2af1-e7ad-31e0930ab83a,sai-ke,2026-06-21,2026-07-21,87902.91,87902.91,paid
INV-2181,SO-2181,04c823b4-adac-2af1-e7ad-31e0930ab83a,sai-ke,2026-05-21,2026-06-20,86167.39,86167.39,paid
INV-2182,SO-2182,04c823b4-adac-2af1-e7ad-31e0930ab83a,sai-ke,2026-04-20,2026-05-20,171899.17,171899.17,paid
INV-2183,SO-2183,04c823b4-adac-2af1-e7ad-31e0930ab83a,sai-ke,2026-03-20,2026-04-19,65677.68,65677.68,paid
INV-2184,SO-2184,04c823b4-adac-2af1-e7ad-31e0930ab83a,sai-ke,2026-02-17,2026-03-19,74716.11,74716.11,paid
INV-2185,SO-2185,04c823b4-adac-2af1-e7ad-31e0930ab83a,sai-ke,2026-01-17,2026-02-16,128712.35,128712.35,paid
INV-2186,SO-2186,04c823b4-adac-2af1-e7ad-31e0930ab83a,sai-ke,2025-12-17,2026-01-16,183805.07,183805.07,paid
INV-2187,SO-2187,04c823b4-adac-2af1-e7ad-31e0930ab83a,sai-ke,2025-11-16,2025-12-16,156499.4,156499.4,paid
INV-2188,SO-2188,04c823b4-adac-2af1-e7ad-31e0930ab83a,sai-ke,2025-10-16,2025-11-15,46877.0,46877.0,paid
INV-2189,SO-2189,04c823b4-adac-2af1-e7ad-31e0930ab83a,sai-ke,2025-09-15,2025-10-15,172214.39,172214.39,paid
INV-2190,SO-2190,7cda934e-9aab-cb6f-4cd4-abd78f657ab9,sai-tz,2026-07-28,2026-08-27,63392.61,0,outstanding
INV-2191,SO-2191,7cda934e-9aab-cb6f-4cd4-abd78f657ab9,sai-tz,2026-07-04,2026-08-03,119936.81,119936.81,paid
INV-2192,SO-2192,7cda934e-9aab-cb6f-4cd4-abd78f657ab9,sai-tz,2026-06-10,2026-07-10,116918.4,116918.4,paid
