appointment_ref,tenant_id,client_id,designer_id,appointment_date,appointment_time,purpose,status,brief_note
APT-5474,kandb,5aa4eca6-67db-31d4-5640-a68fd76a1470,0041ec08-91d6-3577-d091-2633030efba4,2026-08-18,16:00,selections_review,confirmed,
APT-9480,kandb,b3bf16d2-9ab7-8408-7b37-97ada9e85e6d,17c0d4ff-a323-52ab-a488-1158fc6c8f23,2026-08-18,10:00,selections_review,confirmed,Brief captured by assistant
APT-7751,kandb,bcaa3d27-887f-7a33-6247-818995d31a27,17c0d4ff-a323-52ab-a488-1158fc6c8f23,2026-08-18,14:00,first_consultation,confirmed,Brief captured by assistant
APT-3303,kandb,b3bf16d2-9ab7-8408-7b37-97ada9e85e6d,17c0d4ff-a323-52ab-a488-1158fc6c8f23,2026-08-18,16:00,first_consultation,confirmed,
APT-4502,kandb,aef3d8bb-93a8-13d3-042f-6a3f710f2d76,e538f0ab-6c51-5a78-a9ee-f6e4d0616d3b,2026-08-18,10:00,selections_review,confirmed,
APT-4238,kandb,4b57aa48-dbdd-1c03-e625-74620749422b,e538f0ab-6c51-5a78-a9ee-f6e4d0616d3b,2026-08-18,12:00,design_presentation,confirmed,
APT-5185,kandb,3461bb83-bd78-7d25-5fea-15f44796f3de,d053d595-3282-47c7-3a1e-bfd85cfa24cf,2026-08-19,10:00,selections_review,confirmed,Brief captured by assistant
APT-3388,kandb,f2e9667e-c216-00f2-6702-e0c360995057,0041ec08-91d6-3577-d091-2633030efba4,2026-08-19,10:00,design_presentation,confirmed,Brief captured by assistant
APT-5468,kandb,f2e9667e-c216-00f2-6702-e0c360995057,17c0d4ff-a323-52ab-a488-1158fc6c8f23,2026-08-19,10:00,design_presentation,confirmed,
APT-6412,kandb,747124d9-588a-2ce9-3490-c573def9c2f7,17c0d4ff-a323-52ab-a488-1158fc6c8f23,2026-08-19,14:00,selections_review,confirmed,
APT-7214,kandb,2e8b0d36-e7d6-6a23-7f93-864589fa764d,e538f0ab-6c51-5a78-a9ee-f6e4d0616d3b,2026-08-19,10:00,design_presentation,confirmed,
APT-7077,kandb,1e180780-d55b-643d-be80-aeea377edb26,d053d595-3282-47c7-3a1e-bfd85cfa24cf,2026-08-20,12:00,first_consultation,confirmed,Brief captured by assistant
APT-5935,kandb,b6588f03-da71-ef29-5250-1959b7df19c2,d053d595-3282-47c7-3a1e-bfd85cfa24cf,2026-08-20,14:00,first_consultation,confirmed,
APT-6963,kandb,de44810d-e8c6-96ba-d7c7-0f61cab3e7f1,d053d595-3282-47c7-3a1e-bfd85cfa24cf,2026-08-20,16:00,selections_review,confirmed,
APT-8875,kandb,5a4b3f7d-60be-125f-ae49-3928d7b8e2a3,0041ec08-91d6-3577-d091-2633030efba4,2026-08-20,10:00,first_consultation,confirmed,
APT-8801,kandb,b5863139-47e7-324d-6dc7-f58b5eda9563,0041ec08-91d6-3577-d091-2633030efba4,2026-08-20,14:00,first_consultation,confirmed,Brief captured by assistant
APT-8382,kandb,a1fdbb1e-2a63-325f-aecc-ddf579be1f4f,17c0d4ff-a323-52ab-a488-1158fc6c8f23,2026-08-20,10:00,design_presentation,confirmed,
APT-5248,kandb,1e180780-d55b-643d-be80-aeea377edb26,17c0d4ff-a323-52ab-a488-1158fc6c8f23,2026-08-20,14:00,design_presentation,confirmed,
APT-6287,kandb,1b5abb8a-9746-e7c4-0427-77e0bdaa03de,e538f0ab-6c51-5a78-a9ee-f6e4d0616d3b,2026-08-20,12:00,selections_review,confirmed,
APT-7734,kandb,371f1357-fc06-49a4-9a32-20f1afc2abc9,d053d595-3282-47c7-3a1e-bfd85cfa24cf,2026-08-21,14:00,selections_review,confirmed,Brief captured by assistant
APT-5411,kandb,5a4b3f7d-60be-125f-ae49-3928d7b8e2a3,0041ec08-91d6-3577-d091-2633030efba4,2026-08-21,10:00,selections_review,confirmed,Brief captured by assistant
APT-5146,kandb,1ef2dca1-c3b3-b3f9-088b-736136c53ff1,0041ec08-91d6-3577-d091-2633030efba4,2026-08-21,12:00,design_presentation,confirmed,
APT-3874,kandb,b6588f03-da71-ef29-5250-1959b7df19c2,17c0d4ff-a323-52ab-a488-1158fc6c8f23,2026-08-21,10:00,design_presentation,confirmed,
APT-5929,kandb,a874a8e6-7ed6-3d78-8a7e-64f467e9ed4d,17c0d4ff-a323-52ab-a488-1158fc6c8f23,2026-08-21,12:00,first_consultation,confirmed,
APT-7447,kandb,5aa4eca6-67db-31d4-5640-a68fd76a1470,17c0d4ff-a323-52ab-a488-1158fc6c8f23,2026-08-21,14:00,selections_review,confirmed,
APT-4638,kandb,ce4dc336-738c-1760-1c29-fe477a51d459,d053d595-3282-47c7-3a1e-bfd85cfa24cf,2026-08-22,10:00,first_consultation,confirmed,
APT-9051,kandb,de44810d-e8c6-96ba-d7c7-0f61cab3e7f1,d053d595-3282-47c7-3a1e-bfd85cfa24cf,2026-08-22,11:30,design_presentation,confirmed,
APT-9939,kandb,34d28b9d-4006-4fcb-7449-19a2c93da39c,d053d595-3282-47c7-3a1e-bfd85cfa24cf,2026-08-22,14:00,first_consultation,confirmed,
APT-9392,kandb,44d1cd20-12b8-de90-24f6-c7e5b8f611bf,0041ec08-91d6-3577-d091-2633030efba4,2026-08-22,10:00,selections_review,confirmed,
APT-8669,kandb,3c7f3f36-fc1d-2279-f6c2-c36d4a40a4c7,0041ec08-91d6-3577-d091-2633030efba4,2026-08-22,11:30,selections_review,confirmed,
APT-9909,kandb,bcaa3d27-887f-7a33-6247-818995d31a27,0041ec08-91d6-3577-d091-2633030efba4,2026-08-22,14:00,selections_review,confirmed,Brief captured by assistant
APT-6210,kandb,e922ff44-0a6f-e3d6-2d29-00db2ba11f3f,17c0d4ff-a323-52ab-a488-1158fc6c8f23,2026-08-22,11:30,design_presentation,confirmed,Brief captured by assistant
