project_ref,client_id,tenant_id,scope,area,current_stage,started_at,target_installation,designer
KB-1228,3fb76b4a-7e94-d09c-f657-148e67af9664,kandb,"Caesar tiling, whole ground floor",Rosslyn,delivery,2026-03-13,,Aisha Noor
KB-1229,31ec47e4-6353-f084-ba47-4528437b3c53,kandb,"Caesar tiling, whole ground floor",Lavington,quotation_approval,2026-05-19,2026-12-09,Daniel Mwangi
KB-1230,85aa91a2-7463-a870-37c0-a62aaa445483,kandb,"Caesar tiling, whole ground floor",Lavington,client_selections,2026-05-02,2026-09-25,Aisha Noor
KB-1231,ac73351e-6ea3-6946-7ec8-53c704b1212e,kandb,Snaidero kitchen + Bosch appliances,Runda,delivery,2026-05-21,2026-12-09,Daniel Mwangi
KB-1232,a874a8e6-7ed6-3d78-8a7e-64f467e9ed4d,kandb,Full interior fit-out,Loresho,design_3d,2026-05-28,,Aisha Noor
KB-1233,f5c19d9a-2e33-9f72-793f-728bb758377f,kandb,Novamobili wardrobes,Kileleshwa,quotation_approval,2026-05-06,2026-12-09,Kevin Otieno
KB-1234,b6588f03-da71-ef29-5250-1959b7df19c2,kandb,Full interior fit-out,Loresho,installation,2026-07-12,2026-10-10,Priya Shah
KB-1235,d7dd835f-89ab-eebc-c8aa-08b902aba5fe,kandb,Full interior fit-out,Loresho,order_placed,2026-04-14,2026-09-10,Daniel Mwangi
KB-1236,23b2ffab-fc9a-bb85-244f-36ef4a99bdac,kandb,Kohler bathroom refit,Runda,quotation_approval,2026-05-12,2026-10-10,Kevin Otieno
KB-1237,747124d9-588a-2ce9-3490-c573def9c2f7,kandb,Snaidero kitchen,Westlands,handover,2026-04-11,2026-09-25,Aisha Noor
KB-1238,e922ff44-0a6f-e3d6-2d29-00db2ba11f3f,kandb,Full interior fit-out,Runda,installation,2026-06-14,2026-09-25,Priya Shah
KB-1239,c02450e3-8edc-a8af-dc49-3bfcae6d30c3,kandb,Snaidero kitchen + Bosch appliances,Lavington,handover,2026-05-12,2026-10-10,Aisha Noor
KB-1240,dd7332bb-4fc7-a15f-1a9b-93e52df84c16,kandb,Novamobili wardrobes,Spring Valley,design_3d,2026-05-01,,Daniel Mwangi
KB-1241,5aa4eca6-67db-31d4-5640-a68fd76a1470,kandb,"Caesar tiling, whole ground floor",Kileleshwa,installation,2026-05-18,2026-12-09,Priya Shah
