enquiry_id,tenant_id,received_at,source,intent,area,hours_bucket,converted_to_appointment,budget_signal
e55b8d1d-9bd3-0cbb-b945-aa960a62a08f,kandb,2026-06-28 14:40:00,website_form,bathroom_sanitaryware,Kileleshwa,in_hours,True,not_stated
aadc7da1-1647-d47b-b9c0-b3128729a488,kandb,2026-05-25 14:38:00,whatsapp,kitchen,Lavington,in_hours,False,in_range
bc281179-ea8c-7b2b-db2f-62aed5df32db,kandb,2026-07-01 20:03:00,whatsapp,appliances,Lavington,outside_hours,True,not_stated
92b2fbee-ea2e-444a-bacb-8e1e99cf9c19,kandb,2026-07-20 01:03:00,instagram,tiles,Westlands,outside_hours,True,under
29089e14-8423-2f64-7329-4bb15defb562,kandb,2026-07-07 10:23:00,referral,wardrobes,Lavington,in_hours,True,in_range
2575603a-192f-ab5e-d176-c158c3da863f,kandb,2026-06-15 19:49:00,whatsapp,tiles,Spring Valley,outside_hours,True,under
3519fa9c-39e1-9948-1ce4-be2515c04ba1,kandb,2026-08-05 11:38:00,phone,tiles,Gigiri,in_hours,True,in_range
0465a193-f1c9-3c14-b038-396ae05446e4,kandb,2026-06-11 11:44:00,phone,whole_house,Kitisuru,in_hours,True,not_stated
baebcf91-926f-b06f-2796-5b19684e8694,kandb,2026-07-19 22:49:00,instagram,bathroom_sanitaryware,Kileleshwa,outside_hours,False,not_stated
f563b653-b022-bb86-6791-4c9a3a8c5879,kandb,2026-05-26 09:43:00,walk_in,wardrobes,Muthaiga,in_hours,False,in_range
d78bdad0-c6e3-21af-005a-e8703505e59c,kandb,2026-05-31 16:04:00,instagram,bathroom_sanitaryware,Rosslyn,in_hours,True,under
b3c50e34-bb5c-4c0c-6bc8-5e56cf4bd402,kandb,2026-08-06 06:33:00,phone,appliances,Westlands,outside_hours,True,in_range
9d9a0ec4-dc79-a895-87b1-77d1d12fc701,kandb,2026-05-14 08:51:00,website_form,wardrobes,Gigiri,outside_hours,False,under
224dcc43-a34a-703a-b6c8-d1f4ff73d75e,kandb,2026-06-30 00:50:00,walk_in,wardrobes,Muthaiga,outside_hours,True,in_range
c3b4f34d-122a-ddb8-c6ac-e5c94d86d65a,kandb,2026-07-07 10:30:00,phone,kitchen,Gigiri,in_hours,True,in_range
f0d7aa2c-f9a3-b487-0c3f-913bb9b157ec,kandb,2026-07-11 02:43:00,instagram,bathroom_sanitaryware,Runda,outside_hours,True,in_range
2369eb53-a038-00c3-a377-f71b6cc15e69,kandb,2026-06-23 21:22:00,website_form,kitchen,Loresho,outside_hours,True,in_range
11a9e9c6-8a14-1af3-6d13-0aaa75f553a8,kandb,2026-06-03 23:51:00,walk_in,whole_house,Nyari,outside_hours,True,under
690c8a3f-ad73-dace-7dd4-c8b5c7fa37d5,kandb,2026-06-22 15:19:00,website_form,wardrobes,Nyari,in_hours,True,in_range
21701dea-dc00-0b52-892a-3fc3e7f57ce2,kandb,2026-06-03 16:56:00,walk_in,pricing_only,Karen,in_hours,False,not_stated
3e1e3dbd-8008-5b1e-ad58-1fc5b9760f51,kandb,2026-06-27 16:49:00,whatsapp,kitchen,Rosslyn,in_hours,True,in_range
b29e83e3-c559-0057-e8f2-43ea2d7e43fa,kandb,2026-06-19 09:54:00,referral,tiles,Loresho,in_hours,True,in_range
a80bf80c-9151-0e87-c1d9-41def859cca6,kandb,2026-08-09 18:51:00,walk_in,pricing_only,Karen,outside_hours,False,in_range
00b9f5af-e9bc-f6d2-7b13-8317f2569b33,kandb,2026-08-10 03:20:00,walk_in,tiles,Muthaiga,outside_hours,False,in_range
6c392c36-382d-7382-f150-77a55b6382af,kandb,2026-06-19 07:46:00,referral,kitchen,Rosslyn,outside_hours,False,not_stated
04318772-cce6-777c-bd3d-2b5f224093ee,kandb,2026-08-08 20:35:00,referral,bathroom_sanitaryware,Karen,outside_hours,True,not_stated
5c64d844-14a0-fc2a-01b2-39e415994919,kandb,2026-05-22 17:59:00,website_form,wardrobes,Karen,in_hours,True,in_range
0ed8da3b-7334-8641-daa2-94d44808ce3c,kandb,2026-06-26 19:17:00,referral,kitchen,Nyari,outside_hours,True,in_range
fc191290-b7fb-3f7f-d8d4-ce06cf55e447,kandb,2026-07-10 04:47:00,whatsapp,kitchen,Loresho,outside_hours,True,in_range
5142121c-76b9-8603-d839-720f966438a8,kandb,2026-06-20 23:43:00,referral,tiles,Spring Valley,outside_hours,True,in_range
a54b647c-f0c4-8737-5dff-857b35427b19,kandb,2026-06-12 05:37:00,phone,bathroom_sanitaryware,Runda,outside_hours,False,not_stated
6c623a18-3bb4-38a6-ca58-ff2a1914db49,kandb,2026-06-24 09:36:00,referral,tiles,Westlands,in_hours,False,under
23d95197-72f5-31b6-9da5-106d15a028e8,kandb,2026-06-07 02:10:00,walk_in,tiles,Kileleshwa,outside_hours,True,in_range
64ea0048-0245-34da-74d4-165f4c02ede8,kandb,2026-07-28 17:54:00,walk_in,pricing_only,Kitisuru,in_hours,True,not_stated
b1e6bcf4-849a-0636-03b2-b4aac6d353aa,kandb,2026-06-16 15:13:00,whatsapp,bathroom_sanitaryware,Kileleshwa,in_hours,False,not_stated
a3967334-fa16-0c24-e382-410e45e902be,kandb,2026-08-03 20:19:00,walk_in,wardrobes,Spring Valley,outside_hours,True,in_range
6f55561c-490f-9f08-e851-cc2941641123,kandb,2026-05-17 15:01:00,whatsapp,kitchen,Runda,in_hours,True,under
a9f1d3a4-f202-b116-bfdb-366498638165,kandb,2026-05-18 20:36:00,phone,wardrobes,Runda,outside_hours,True,in_range
1a7c118e-c780-5b0c-f22b-ea1cdf4e1798,kandb,2026-05-25 18:56:00,phone,appliances,Lavington,outside_hours,True,in_range
f189c122-9062-2d29-4b78-3c4233b6afa9,kandb,2026-05-27 15:04:00,website_form,tiles,Spring Valley,in_hours,False,in_range
9525ca90-d7ed-c4f5-09b7-cee4d7126953,kandb,2026-06-02 01:09:00,referral,kitchen,Runda,outside_hours,True,not_stated
79a9c226-0c52-d2c6-a07f-0cc30d4446b7,kandb,2026-08-10 05:32:00,phone,tiles,Rosslyn,outside_hours,True,under
3f84c35c-b6cc-872d-c6af-07f1b085e3d3,kandb,2026-05-15 17:32:00,walk_in,bathroom_sanitaryware,Runda,in_hours,True,in_range
004b4c09-b933-4b85-aabd-a14060ab29ac,kandb,2026-07-29 10:56:00,walk_in,kitchen,Karen,in_hours,True,in_range
8e30729f-e31e-be99-02d0-dcf1ed6eb3f3,kandb,2026-08-06 17:29:00,whatsapp,kitchen,Lavington,in_hours,True,under
816b4195-2af7-4e1d-6e16-c5dbc262d218,kandb,2026-07-13 07:31:00,whatsapp,bathroom_sanitaryware,Muthaiga,outside_hours,True,in_range
971a6e21-5609-a082-bc1f-6abf26d196bb,kandb,2026-05-16 15:45:00,whatsapp,kitchen,Kileleshwa,in_hours,True,under
9d2a5371-e773-c5ce-6e58-af3be8b66b9b,kandb,2026-07-14 13:12:00,website_form,kitchen,Muthaiga,in_hours,True,in_range
4191eeaf-89b0-2a81-7eaf-695746ba36b8,kandb,2026-07-23 04:20:00,walk_in,tiles,Runda,outside_hours,True,in_range
746c7665-9ab8-54c7-66c6-3099474901e9,kandb,2026-05-29 14:48:00,instagram,appliances,Rosslyn,in_hours,True,in_range
ccc4627d-c09a-ffa1-cb12-f14cd8d28313,kandb,2026-06-21 16:33:00,phone,bathroom_sanitaryware,Kitisuru,in_hours,True,in_range
a9cb077a-7399-02b7-1cdb-d498151f45ae,kandb,2026-08-10 18:32:00,referral,kitchen,Kitisuru,outside_hours,False,under
48aff17c-dbb2-3deb-af71-d36c77843419,kandb,2026-05-29 15:00:00,instagram,wardrobes,Gigiri,in_hours,False,in_range
f181cfcd-484b-db67-3787-379d9a397282,kandb,2026-05-17 16:09:00,website_form,wardrobes,Spring Valley,in_hours,False,not_stated
01c04a15-e140-4a9e-c330-dc2623fed81b,kandb,2026-06-01 21:56:00,walk_in,kitchen,Muthaiga,outside_hours,True,in_range
05991f22-9cbf-fec1-2bab-d4a110b5291c,kandb,2026-05-27 21:06:00,website_form,wardrobes,Nyari,outside_hours,False,in_range
ae76bd30-c6c9-ee26-994a-06bc13da2360,kandb,2026-07-22 16:20:00,website_form,kitchen,Rosslyn,in_hours,True,in_range
223bb221-e2af-6dba-763e-ee18c22485df,kandb,2026-08-05 22:17:00,website_form,tiles,Loresho,outside_hours,False,in_range
aaa71c71-81b4-e817-a340-21d5e2258c4a,kandb,2026-05-24 09:48:00,walk_in,tiles,Kileleshwa,in_hours,False,under
78352dba-cea9-0b4a-5a4d-56ca07b10110,kandb,2026-06-08 19:31:00,phone,bathroom_sanitaryware,Kileleshwa,outside_hours,False,in_range
45e47cbf-d93d-483e-866d-14d6ed55f6bd,kandb,2026-06-27 13:09:00,instagram,kitchen,Gigiri,in_hours,True,in_range
f81a7090-090f-92f2-bf9b-8c953ad1fe27,kandb,2026-05-26 16:04:00,whatsapp,bathroom_sanitaryware,Kileleshwa,in_hours,True,under
e2493685-0d01-6199-4634-54764d1d7ca4,kandb,2026-08-10 04:22:00,referral,appliances,Westlands,outside_hours,True,not_stated
7c30e864-0366-0847-9e87-855ee311073a,kandb,2026-07-17 06:42:00,website_form,kitchen,Muthaiga,outside_hours,True,in_range
e7966454-6384-d923-6aae-15f4640f1400,kandb,2026-06-29 17:49:00,instagram,whole_house,Runda,in_hours,True,in_range
a11a332f-c661-7bdd-cb3a-cbe0d6f2ecc6,kandb,2026-05-16 05:15:00,walk_in,kitchen,Nyari,outside_hours,True,in_range
8e8f32f8-a3e1-bea2-9400-4e08dac7ce4f,kandb,2026-08-07 12:37:00,walk_in,kitchen,Muthaiga,in_hours,False,in_range
08d3f609-e264-17df-bd0b-e1440376e0be,kandb,2026-07-26 15:40:00,whatsapp,wardrobes,Gigiri,in_hours,True,in_range
1f28f339-93e5-0a64-4ba9-edc5ad1c8123,kandb,2026-06-21 16:54:00,whatsapp,kitchen,Kileleshwa,in_hours,True,in_range
fbbadd7b-482f-c403-502f-a4212f6cee31,kandb,2026-07-10 21:42:00,website_form,appliances,Spring Valley,outside_hours,False,in_range
fc129aff-d42b-08b9-6705-0e472e2a6a86,kandb,2026-07-29 08:39:00,website_form,wardrobes,Runda,outside_hours,False,under
896d53f4-236e-fbb0-6098-645faefb66a8,kandb,2026-07-09 10:35:00,walk_in,pricing_only,Westlands,in_hours,False,not_stated
8b7f248b-13e1-791e-3a5c-586c1bb95f37,kandb,2026-07-22 14:02:00,whatsapp,kitchen,Muthaiga,in_hours,True,in_range
f9df02dd-3950-7a04-19c0-3e0203cab162,kandb,2026-07-15 14:13:00,phone,tiles,Westlands,in_hours,True,in_range
a57a2eb2-37e4-bc71-1914-f93a6ec6710e,kandb,2026-07-20 04:07:00,walk_in,wardrobes,Westlands,outside_hours,False,not_stated
df08bd07-77f0-db68-0bd9-28da00eaef39,kandb,2026-06-18 02:52:00,instagram,bathroom_sanitaryware,Nyari,outside_hours,True,under
3c530beb-68c2-560c-e291-ffd2f562e6a2,kandb,2026-07-17 15:23:00,website_form,kitchen,Runda,in_hours,False,not_stated
83c59426-2079-a5ab-8018-bc83d0a80fd6,kandb,2026-05-18 12:26:00,walk_in,wardrobes,Karen,in_hours,True,in_range
9bc21813-5e1b-1db5-1895-e95496f368b3,kandb,2026-05-29 11:30:00,whatsapp,appliances,Westlands,in_hours,True,not_stated
2b4e904a-ab26-e943-708a-c819cb65ccfe,kandb,2026-05-18 22:09:00,instagram,tiles,Karen,outside_hours,True,under
d1987f4e-9711-13ed-0f80-293d9a5ed5b1,kandb,2026-05-27 00:01:00,phone,wardrobes,Karen,outside_hours,True,under
e8af574e-c8f0-2f2c-960f-e62f828bdcdb,kandb,2026-07-26 12:23:00,referral,kitchen,Runda,in_hours,False,not_stated
2fabbf01-2d2d-0dfe-9d87-b47c5e4c524e,kandb,2026-06-13 03:48:00,instagram,kitchen,Spring Valley,outside_hours,True,in_range
924bb0d7-b7c8-0f0d-e2c0-737998277ec7,kandb,2026-07-27 17:29:00,phone,tiles,Westlands,in_hours,True,in_range
94fd0817-454b-9237-1604-e235f535817c,kandb,2026-07-25 01:11:00,website_form,bathroom_sanitaryware,Loresho,outside_hours,False,under
81095ef6-ddf2-17ef-b5ae-0af9106d1374,kandb,2026-05-23 12:46:00,website_form,kitchen,Gigiri,in_hours,False,in_range
e4e80e33-22ff-4e0d-b721-e8d1d030ff46,kandb,2026-05-23 01:53:00,walk_in,whole_house,Nyari,outside_hours,True,under
5d8f7341-f489-7a56-93e8-8cac138e73f9,kandb,2026-06-22 16:27:00,referral,appliances,Westlands,in_hours,True,under
f4087780-99b8-b4ce-54b4-3155ae9083f8,kandb,2026-06-26 04:52:00,referral,kitchen,Karen,outside_hours,True,in_range
2c49f630-23be-faca-1ba1-5391b64217d3,kandb,2026-06-04 13:22:00,instagram,tiles,Lavington,in_hours,False,under
084ac54e-80ec-4553-9d5b-c85f52660fed,kandb,2026-07-19 22:47:00,phone,whole_house,Lavington,outside_hours,False,in_range
74811ec5-6e58-a3fb-21e9-e93d1e688442,kandb,2026-07-24 13:45:00,whatsapp,kitchen,Rosslyn,in_hours,True,not_stated
1c70afb0-adb8-97a5-974d-88faf59690cf,kandb,2026-06-20 13:16:00,website_form,bathroom_sanitaryware,Rosslyn,in_hours,True,in_range
6492106d-8e33-27ac-28fb-56c2957e7c10,kandb,2026-06-04 09:15:00,whatsapp,wardrobes,Gigiri,in_hours,True,in_range
431338c0-3aab-c15c-4b04-f7aa5d1e4fc9,kandb,2026-07-11 12:23:00,walk_in,bathroom_sanitaryware,Lavington,in_hours,True,not_stated
012f8c72-def0-0cfa-10d9-16dc55cdaf93,kandb,2026-06-21 00:37:00,website_form,bathroom_sanitaryware,Kileleshwa,outside_hours,True,not_stated
384a7669-383d-20e8-d803-6d7f44923afb,kandb,2026-06-06 04:33:00,referral,pricing_only,Gigiri,outside_hours,True,in_range
045c0050-da21-5f9d-446d-12caa550e2d7,kandb,2026-05-29 10:22:00,phone,appliances,Kileleshwa,in_hours,True,in_range
9a7209a9-d4a3-7ddf-9bf1-f26bcc255d34,kandb,2026-06-30 10:58:00,phone,kitchen,Gigiri,in_hours,True,in_range
114276a6-c3b5-51e0-7e95-fc34be0a1a5b,kandb,2026-07-09 16:17:00,instagram,wardrobes,Runda,in_hours,True,under
d4c3307d-c5ed-cac1-8f88-ab640e245e51,kandb,2026-07-25 14:08:00,phone,tiles,Lavington,in_hours,False,not_stated
ea2bebe2-59d2-c812-7d24-e7ef72e4cb95,kandb,2026-06-03 09:52:00,whatsapp,kitchen,Loresho,in_hours,True,not_stated
88ce7941-206b-a756-bbe3-5e7563b98391,kandb,2026-08-10 09:36:00,referral,wardrobes,Runda,in_hours,True,under
a5aaa1f8-a845-c1dc-86d7-1f4508d9b7ad,kandb,2026-08-09 11:59:00,phone,appliances,Kitisuru,in_hours,True,in_range
f544d546-cd13-e2f4-cc43-1847b4970f5b,kandb,2026-08-08 20:33:00,walk_in,wardrobes,Kitisuru,outside_hours,False,in_range
29b1a873-5b18-a75a-89cf-39dbd6104837,kandb,2026-05-29 09:58:00,instagram,whole_house,Spring Valley,in_hours,False,not_stated
bb0ef9fa-8ea0-12dc-c7ad-3dab2668bf41,kandb,2026-05-17 09:47:00,walk_in,bathroom_sanitaryware,Loresho,in_hours,True,in_range
452074ad-3968-276b-92c1-cb778e5aa140,kandb,2026-07-27 00:23:00,website_form,appliances,Kileleshwa,outside_hours,True,in_range
0a93251d-01bd-dfcc-d3e3-f0819f85f8e7,kandb,2026-06-08 10:08:00,walk_in,pricing_only,Loresho,in_hours,False,not_stated
2f3a63df-0665-2a10-a608-75371bf1f767,kandb,2026-06-05 15:26:00,instagram,kitchen,Gigiri,in_hours,False,in_range
0ea92205-52e0-6eed-bf7b-e79ade4f2cb4,kandb,2026-08-05 15:51:00,website_form,tiles,Loresho,in_hours,False,in_range
1996b511-51dd-dedb-75a9-7890ced08b37,kandb,2026-06-07 15:40:00,phone,bathroom_sanitaryware,Muthaiga,in_hours,True,in_range
920ef5c3-bfce-59ea-0363-e107a9dfb68f,kandb,2026-05-14 01:01:00,whatsapp,wardrobes,Lavington,outside_hours,True,in_range
c8a6f9ae-84ed-3c1c-2ca1-8e24da0c8a0c,kandb,2026-06-14 10:44:00,phone,appliances,Gigiri,in_hours,True,in_range
f1a40333-c905-3d25-252d-723503269d1b,kandb,2026-06-19 08:50:00,whatsapp,whole_house,Spring Valley,outside_hours,True,under
9493225e-2cb0-4941-f75a-e20af917cb7e,kandb,2026-06-30 13:01:00,instagram,kitchen,Gigiri,in_hours,True,in_range
78f8e23a-f4dd-9771-1ba7-93d9cce812b2,kandb,2026-07-19 12:14:00,instagram,kitchen,Karen,in_hours,True,under
27e1fc86-9b0b-e2f1-3482-2baf3cbf96fa,kandb,2026-08-01 07:51:00,website_form,bathroom_sanitaryware,Rosslyn,outside_hours,True,not_stated
d762807d-6f3a-0079-6495-ed9d3130a271,kandb,2026-07-23 10:21:00,referral,kitchen,Nyari,in_hours,False,in_range
465835a4-9091-c733-e008-58386d05c51d,kandb,2026-07-30 21:01:00,referral,kitchen,Spring Valley,outside_hours,True,under
7b7ff7b6-d543-9735-bc6c-0a2dd902c4ce,kandb,2026-07-15 12:50:00,website_form,whole_house,Kileleshwa,in_hours,True,in_range
7b1f741d-0062-9b4e-6575-7bab36cc7d47,kandb,2026-07-02 17:59:00,whatsapp,bathroom_sanitaryware,Westlands,in_hours,True,not_stated
a83f95a2-e376-729b-4546-153fa53ef84a,kandb,2026-06-17 17:14:00,referral,bathroom_sanitaryware,Muthaiga,in_hours,True,not_stated
02ab0ca3-5f17-9b09-759c-324b53c9166d,kandb,2026-07-15 22:41:00,website_form,appliances,Rosslyn,outside_hours,False,under
85f4704d-e611-5656-378d-baef4d4e5cbc,kandb,2026-05-21 05:46:00,whatsapp,wardrobes,Gigiri,outside_hours,True,under
fbc5c277-31c9-801c-dbaa-7582e09fb96d,kandb,2026-05-17 00:58:00,whatsapp,pricing_only,Spring Valley,outside_hours,True,in_range
95c47993-fc68-23b4-de9d-a6525e5d4ee8,kandb,2026-06-27 14:35:00,website_form,kitchen,Kitisuru,in_hours,True,under
bf28eaca-027d-8f89-9096-c9dd294040c3,kandb,2026-05-21 16:15:00,instagram,appliances,Kitisuru,in_hours,True,in_range
5ccca311-80fe-a135-b21a-a96179e5d4c0,kandb,2026-05-29 10:32:00,referral,kitchen,Runda,in_hours,True,in_range
80c9722c-742e-def4-8cc1-606285d0cf03,kandb,2026-06-16 03:34:00,whatsapp,wardrobes,Kileleshwa,outside_hours,False,not_stated
2227b9b2-735f-f775-c60c-a3df1217eb6f,kandb,2026-07-31 21:21:00,whatsapp,bathroom_sanitaryware,Nyari,outside_hours,False,under
334f7a31-d053-de37-6eb5-f9c90ca0c213,kandb,2026-05-15 03:15:00,website_form,appliances,Karen,outside_hours,False,in_range
31ea8b49-0582-5c3b-b727-b29b64ea27f2,kandb,2026-06-29 14:29:00,instagram,kitchen,Nyari,in_hours,False,not_stated
1548c9ad-a15e-01a2-cfc1-5a976372668f,kandb,2026-07-31 20:58:00,phone,appliances,Karen,outside_hours,True,in_range
22e27758-bc27-9071-62c6-9a2e1f044ed7,kandb,2026-07-09 11:05:00,whatsapp,bathroom_sanitaryware,Nyari,in_hours,True,under
9268dadc-bde8-90e3-c232-9100f0fa1a39,kandb,2026-05-19 14:15:00,walk_in,whole_house,Gigiri,in_hours,True,in_range
232c8aad-9824-9da7-0594-11548d1f4888,kandb,2026-05-16 12:25:00,website_form,kitchen,Gigiri,in_hours,False,under
14a4ad9a-3700-0dfb-e30b-5d71c438c939,kandb,2026-05-27 07:10:00,phone,tiles,Loresho,outside_hours,True,in_range
425153f1-7d22-fee1-0349-40337c9303a6,kandb,2026-07-12 09:10:00,whatsapp,kitchen,Nyari,in_hours,True,not_stated
783a4807-78d6-3752-e7d8-1bba94374d43,kandb,2026-08-07 15:52:00,referral,pricing_only,Lavington,in_hours,False,not_stated
dc40c80b-d6f6-294d-09bc-e3d23227f708,kandb,2026-06-25 16:53:00,instagram,kitchen,Rosslyn,in_hours,True,under
6f9d2db5-071c-34ea-7060-7ccc203a4a21,kandb,2026-07-02 15:36:00,whatsapp,bathroom_sanitaryware,Kitisuru,in_hours,False,under
bcefc074-fde8-88c4-e1d9-c4c240f396b5,kandb,2026-08-07 12:39:00,instagram,whole_house,Nyari,in_hours,False,in_range
c6f6da26-8db3-f970-8199-29d0e66b58e6,kandb,2026-07-14 17:17:00,phone,bathroom_sanitaryware,Kitisuru,in_hours,True,in_range
5d1a3326-0de4-d283-2b36-40f38bd9e7c4,kandb,2026-05-21 13:12:00,phone,kitchen,Loresho,in_hours,True,not_stated
63a620d4-b193-3c8c-317d-d252395ab898,kandb,2026-05-15 12:22:00,instagram,kitchen,Muthaiga,in_hours,False,in_range
1dd88679-d5fc-75c7-fd42-78209ab7e6bc,kandb,2026-08-03 11:23:00,walk_in,tiles,Nyari,in_hours,True,not_stated
7e97f083-3f9e-fe29-4be5-b46ac35909a7,kandb,2026-07-20 01:49:00,whatsapp,kitchen,Runda,outside_hours,True,in_range
92f9ddf9-7c0a-5b69-185a-82661685ba30,kandb,2026-07-19 20:04:00,phone,kitchen,Runda,outside_hours,True,in_range
55cd0582-8510-88a2-9a84-22e2a0651a18,kandb,2026-05-18 23:53:00,website_form,tiles,Muthaiga,outside_hours,False,not_stated
8a325bac-1a7b-9c1c-d5fb-3bc332227d6d,kandb,2026-06-05 17:47:00,whatsapp,kitchen,Kitisuru,in_hours,True,in_range
44a24f21-d0f3-3676-184b-9b2deab66d51,kandb,2026-07-08 18:41:00,referral,kitchen,Kitisuru,outside_hours,False,in_range
dca99654-b369-3a35-2702-f9bed47cc66b,kandb,2026-06-27 14:06:00,phone,wardrobes,Kileleshwa,in_hours,True,in_range
293695db-2694-6edb-8712-5f1835929c22,kandb,2026-08-01 15:28:00,referral,pricing_only,Rosslyn,in_hours,True,not_stated
911b4cbb-ac91-2023-eb09-a1fb9dfd3f44,kandb,2026-06-21 09:39:00,website_form,kitchen,Muthaiga,in_hours,True,not_stated
9d6c3831-ea42-bf37-f7bd-3e5667275b24,kandb,2026-06-03 15:09:00,instagram,wardrobes,Runda,in_hours,True,in_range
502cf98b-ff9f-81ca-c741-e48f35ab8e71,kandb,2026-07-16 06:49:00,phone,kitchen,Karen,outside_hours,True,in_range
34f0d911-bd19-b10b-f51c-99ff771fe8be,kandb,2026-07-05 06:37:00,whatsapp,appliances,Westlands,outside_hours,True,not_stated
692500cc-7c79-5c72-4e9b-dd5d32c22340,kandb,2026-05-19 00:09:00,walk_in,kitchen,Loresho,outside_hours,False,under
